humidity,radiation
62.8,0.062
75.4,0.055
68.1,0.222
62.6,0.058
83.5,0.097
70.7,0.153
57.6,0.204
69.5,0.144
61.6,0.232
60.7,0.163
51.6,0.236
44.7,0.239
45.7,0.241
31.8,0.245
29,0.2
47.9,0.24
32.7,0.241
31.6,0.249
24.3,0.253
24.9,0.254
29.7,0.253
31.8,0.257
30.6,0.247
22.6,0.25
28,0.261
40,0.228
49.6,0.266
36,0.269
26.8,0.276
17.1,0.278
19.8,0.277
46.7,0.116
43.9,0.263
33.8,0.29
28.5,0.293
24,0.294
19,0.298
22.4,0.271
24.1,0.286
24.3,0.301
25.3,0.306
21.6,0.311
20.2,0.311
16.7,0.307
14.3,0.314
15.6,0.315
18.9,0.322
20.4,0.322
16.9,0.322
16.7,0.24
17.9,0.304
21.8,0.26
36.4,0.331
29.3,0.338
37.3,0.341
24.7,0.345
23.5,0.344
19.4,0.347
12.7,0.357
13.9,0.33
35.4,0.212
36.9,0.185
69.6,0.09
58.5,0.212
46.9,0.211
39.9,0.189
46.9,0.058
59.3,0.136
68,0.156
59.8,0.205
37.9,0.197
33.7,0.177
38.6,0.198
41.5,0.2
35.5,0.204
16.8,0.15
32,0.149
31.1,0.189
29.5,0.153
33.4,0.187
36.4,0.079
73.9,0.093
68.5,0.197
57.3,0.201
49.3,0.202
51.3,0.182
45.5,0.174
43.4,0.184
58.3,0.061
68.8,0.095
74.4,0.132
75.2,0.1
57.2,0.208
52.1,0.201
39.5,0.205
43.8,0.216
46.2,0.161
37.5,0.209
38.2,0.208
37.2,0.193
28.5,0.21
25.2,0.218
26.8,0.169
31.2,0.123
62.4,0.172
74.9,0.12
61.2,0.218
69.1,0.098
72,0.212
54,0.186
43.8,0.216
58.7,0.118
47.2,0.233
36.6,0.235
38.3,0.232
31.4,0.24
33.3,0.244
30,0.17
34.4,0.245
29.4,0.246
26.6,0.251
19.1,0.251
20.1,0.258
22.8,0.25
26.5,0.226
27.7,0.237
18.7,0.266
22.8,0.189
33.5,0.249
42.5,0.269
34.9,0.253
28.7,0.271
20,0.263
32.5,0.178
64.9,0.123
62.2,0.119
43.4,0.194
41.2,0.29
36.2,0.214
43.8,0.168
48.6,0.262
45.7,0.303
38.5,0.306
28.7,0.311
17.4,0.303
16.7,0.317
14.8,0.32
16.7,0.244
24.7,0.299
17.9,0.279
27.8,0.123
31.5,0.144
29.9,0.197
31.7,0.18
29.6,0.102
78.8,0.026
70.9,0.08
62.8,0.206
53.9,0.2
45,0.196
38.6,0.171
29,0.2
30.9,0.195
36.8,0.195
38.8,0.192
47.2,0.189
65.7,0.076
77.1,0.129
64.6,0.191
47.7,0.197
27.6,0.125
