nitrogen,carbon 
18.6,0.3
24.1,0.4
29.2,0.5
30,0.7
1.3,0.2
13.6,0.3
21.5,0.6
17.2,0.4
25.8,0.6
21.8,0.5
10.2,0.3
22.4,0.5
22.5,0.4
44.6,0.8
19.6,0.5
16.6,0.4
22.3,0.4
8.7,0.2
13.3,0.3
17.2,0.4
9.5,0.2
18.7,0.4
29.5,0.5
20.5,0.3
4.3,0.2
4.2,0.2
15.2,0.3
24.4,0.5
19.2,0.5
11,0.3
7.6,0.3
9.2,0.3
10.2,0.5
6,0.2
6,0.2
12.1,0.3
11.6,0.3
15.7,0.3
5.5,0.1
8.2,0.2
25.9,0.5
25.6,0.5
5.7,0.2
6,0.3
7.2,0.3
22.2,0.5
22.9,0.5
27.6,0.7
36.9,0.8
15.7,0.5
14.5,0.7
19.5,0.6
16.7,0.4
8.7,0.3
8,0.3
19.2,0.5
22.6,0.7
23.6,0.5
14.7,0.4
6.2,0.3
14.5,0.3
23.4,0.6
17.9,0.4
13.2,0.3
10.7,0.3
20.1,0.6
23.9,0.8
6.6,0.3
5.6,0.3
10.3,0.3
1.1,0.2
6.4,0.3
12.6,0.6
10.9,0.5
5.2,0.3
8.6,0.3
16,0.4
26.9,0.6
11.6,0.3
14.1,0.4
7.3,0.3
14.1,0.4
3.8,0.3
7.2,0.3
30,0.7
13.2,0.4
18,0.4
5.6,0.2
11.2,0.3
19,0.5
17,0.5
4.2,0.2
12.7,0.3
18.8,0.4
19.5,0.4
19.7,0.5
13.4,0.4
13.4,0.3
12.6,0.3
27.1,0.7
24.6,0.5
17.2,0.4
9.6,0.3
8.3,0.2
10.8,0.3
6.4,0.2
5.3,0.2
9.4,0.3
13.4,0.2
11.1,0.3
12.7,0.4
9.5,0.3
22.8,0.4
22.9,0.4
9.1,0.3
3.3,0.3
4.6,0.2
6.3,0.2
19,0.4
7,0.2
14.1,0.4
21.2,0.5
8.8,0.3
4.6,0.2
14.4,0.4
21.6,0.4
15,0.3
16.6,0.3
11.4,0.3
17,0.4
23.4,0.5
18.8,0.3
19.4,0.4
15.6,0.4
11.8,0.4
17.9,0.5
13.6,0.3
10.5,0.2
10.2,0.3
1.8,0.2
3.2,0.2
8.2,0.2
21.3,0.3
25.6,0.5
23.5,0.4
25.6,0.5
23,0.6
25.2,0.8
8.3,0.3
3.5,0.2
3.2,0.2
14.3,0.3
17.2,0.4
9.8,0.2
10.8,0.4
13.7,0.3
17,0.3
22.6,0.5
18.3,0.3
24.6,0.4
21.1,0.4
11.9,0.3
5.7,0.2
14.2,0.4
16.2,0.5
17.7,0.4
19.7,0.5
31.8,0.8
9.6,0.3
5.7,0.3
6.5,0.3
6.3,0.3
4.7,0.2
13.7,0.3
10.1,0.2
21.1,0.3
33.4,0.5
24.5,0.3
14.2,0.2
9.3,0.2
15.4,0.2
18.5,0.3
13.9,0.2
14.8,0.2
16.1,0.2
20,0.4
5.2,0.2
6.1,0.2
7.6,0.2
9.1,0.2
10.2,0.2
14.2,0.3
12.7,0.3
10.5,0.3
7.6,0.2
12.6,0.4
26.8,0.8
23.3,0.5
13.8,0.3
4.5,0.2
8.6,0.2
13.7,0.3
13.4,0.3
8.2,0.3
2.6,0.2
12.2,0.4
-0.2,0.2
1.3,0.2
6.3,0.2
10.2,0.3
17.3,0.5
20.9,0.7
15.2,0.8
17,0.4
23.8,0.3
32,0.4
40.2,0.6
22.5,0.3
7.9,0.2
17.4,0.2
19.4,0.2
13.8,0.2
17.2,0.2
22,0.3
23.1,0.3
19.5,0.3
22.1,0.4
5.3,0.1
13.6,0.2
16.5,0.2
16.3,0.3
22.3,0.4
11.6,0.2
7.6,0.1
6.9,0.2
15.2,0.2
15.2,0.2
25.7,0.4
9.8,0.2
9.6,0.2
12.5,0.2
22.2,0.2
12.1,0.1
6.8,0.1
8.2,0.1
13.7,0.2
10.2,0.2
10.7,0.1
13.2,0.1
13.3,0.1
18.8,0.1
18.1,0.2
13.7,0.2
4.6,0.1
14.1,0.3
23.6,0.4
9.7,0.1
11.5,0.2
18.3,0.2
19.2,0.3
11.3,0.2
17.7,0.2
24.1,0.2
16.3,0.2
17.5,0.2
21.2,0.3
15.8,0.2
8.8,0.1
