nitrogen,radiation
3.8,0.062
9.4,0.055
21.8,0.222
11.2,0.058
15.1,0.097
14.1,0.153
9.1,0.204
5.2,0.144
7.9,0.232
9.3,0.163
16,0.236
22.8,0.239
20.3,0.241
11.9,0.245
8.3,0.2
14.3,0.24
12.1,0.241
19,0.249
20.1,0.253
12.5,0.254
11.4,0.253
23.4,0.257
33,0.247
8.2,0.25
16,0.261
6.4,0.228
11.1,0.266
16.2,0.269
17.2,0.276
7.4,0.278
5.3,0.277
2.8,0.116
4.5,0.263
16.6,0.29
20.1,0.293
18.7,0.294
18.7,0.298
13.8,0.271
23.8,0.286
27.3,0.301
23.6,0.306
17.8,0.311
27.6,0.311
24.5,0.307
14.2,0.314
15.3,0.315
22.4,0.322
25.4,0.322
21.8,0.322
18.8,0.24
16.4,0.304
8.1,0.26
7.8,0.331
4.4,0.338
19.8,0.341
17.7,0.345
20,0.344
25,0.347
15.2,0.357
16.1,0.33
33.3,0.212
20.7,0.185
4.2,0.09
15.8,0.212
9.2,0.211
11,0.189
15.2,0.058
7.3,0.136
12.5,0.156
16.4,0.205
9.4,0.197
13,0.177
9.4,0.198
16.4,0.2
20.9,0.204
5,0.15
1.4,0.149
7.9,0.189
17,0.153
25.9,0.187
22.6,0.079
12.1,0.093
13.6,0.197
15.2,0.201
1.5,0.202
13.8,0.182
14.8,0.174
16.3,0.184
12.8,0.061
9.2,0.095
8.9,0.132
5.9,0.1
4.4,0.208
9.5,0.201
4.7,0.205
7.5,0.216
7,0.161
9.1,0.209
23.4,0.208
28.2,0.193
14.3,0.21
14.2,0.218
33.7,0.169
24.9,0.123
4.4,0.172
7.5,0.212
4.1,0.186
3,0.216
-0.3,0.118
6.4,0.233
15.6,0.235
4.1,0.232
7,0.24
18.4,0.244
8.6,0.17
13.7,0.245
23.9,0.246
23.1,0.251
14.6,0.251
15.8,0.258
38.6,0.25
33.9,0.226
24.8,0.237
15.4,0.266
11.7,0.189
7.5,0.249
13.1,0.269
32.8,0.253
24.2,0.271
16.2,0.263
8.4,0.178
5.7,0.123
7.5,0.119
22.6,0.194
18.8,0.29
8.1,0.214
14.2,0.168
3.9,0.262
4.1,0.303
7.9,0.306
8.4,0.311
3.4,0.303
3.3,0.317
10.9,0.32
19.8,0.244
13,0.299
7,0.279
23.8,0.123
28.2,0.144
28.4,0.18
13.3,0.102
12.5,0.026
11.3,0.08
13.8,0.206
22,0.2
29.8,0.196
29.6,0.171
26.1,0.2
23.2,0.195
17.5,0.195
25.1,0.192
26.2,0.189
14.7,0.076
15.7,0.129
11.5,0.191
11.9,0.197
10.8,0.125
5.7,0.196
11,0.176
20.3,0.192
18.2,0.198
13.2,0.186
21.7,0.14
26.8,0.197
22.9,0.202
15.8,0.204
8.8,0.189
7.6,0.216
16.8,0.216
23.6,0.211
31.5,0.074
25.4,0.215
24.2,0.186
4.5,0.21
25.5,0.195
24.1,0.175
8.2,0.128
8.8,0.234
15.9,0.237
19.8,0.236
26.1,0.222
19.3,0.186
9.9,0.166
18.6,0.201
24.1,0.245
29.2,0.24
30,0.244
1.3,0.25
13.6,0.234
21.5,0.256
17.2,0.259
25.8,0.254
21.8,0.234
10.2,0.264
22.4,0.268
22.5,0.267
44.6,0.266
19.6,0.272
16.6,0.257
22.3,0.245
8.7,0.22
13.3,0.285
17.2,0.288
9.5,0.245
18.7,0.29
29.5,0.292
20.5,0.296
4.3,0.27
4.2,0.237
15.2,0.272
24.4,0.287
19.2,0.214
11,0.109
7.6,0.097
9.2,0.208
10.2,0.254
6,0.221
6,0.282
12.1,0.317
11.6,0.329
15.7,0.327
5.5,0.344
8.2,0.346
25.9,0.347
25.6,0.209
5.7,0.256
6,0.23
7.2,0.165
22.2,0.193
22.9,0.198
27.6,0.146
36.9,0.106
15.7,0.047
14.5,0.11
19.5,0.214
16.7,0.14
8.7,0.159
8,0.218
19.2,0.219
22.6,0.186
23.6,0.109
14.7,0.116
6.2,0.155
14.5,0.22
23.4,0.216
17.9,0.164
13.2,0.214
10.7,0.213
20.1,0.216
23.9,0.116
6.6,0.144
5.6,0.208
10.3,0.052
1.1,0.122
6.4,0.211
12.6,0.223
10.9,0.216
5.2,0.113
8.6,0.225
16,0.227
26.9,0.213
11.6,0.221
14.1,0.129
7.3,0.11
14.1,0.138
3.8,0.23
7.2,0.221
30,0.233
13.2,0.196
18,0.205
5.6,0.209
11.2,0.249
19,0.238
17,0.225
4.2,0.224
12.7,0.257
18.8,0.258
19.5,0.263
19.7,0.263
13.4,0.229
13.4,0.267
12.6,0.141
27.1,0.201
24.6,0.259
17.2,0.197
9.6,0.204
8.3,0.234
10.8,0.276
6.4,0.124
5.3,0.246
9.4,0.295
13.4,0.294
11.1,0.209
12.7,0.074
9.5,0.274
22.8,0.305
22.9,0.234
