nitrogen,temp
3.8,38.4
9.4,37.9
21.8,38.4
11.2,42.2
15.1,43.9
14.1,47.9
9.1,46.4
5.2,40.4
7.9,39.4
9.3,39.3
16,40.7
22.8,38.8
20.3,41.4
11.9,48.3
8.3,48.9
14.3,44.3
12.1,50.4
19,49.4
20.1,54.5
12.5,55.8
11.4,48.5
23.4,45.9
33,48.2
8.2,54.7
16,49.1
6.4,44.6
11.1,41.2
16.2,46.8
17.2,52
7.4,59.1
5.3,60.3
2.8,47.2
4.5,38.7
16.6,36.4
20.1,36.7
18.7,39.9
18.7,43
13.8,47.1
23.8,49.8
27.3,50.7
23.6,54.2
17.8,56.5
27.6,57.5
24.5,59.7
14.2,60.8
15.3,59
22.4,60.1
25.4,62.3
21.8,67.2
18.8,69.1
16.4,67.5
8.1,65.2
7.8,60.7
4.4,51.1
19.8,46.7
17.7,51.3
20,55.7
25,60.1
15.2,65.2
16.1,65.3
33.3,45.9
20.7,50.6
4.2,45.2
15.8,47
9.2,48.8
11,54
15.2,52.9
7.3,39.1
12.5,38.5
16.4,46.9
9.4,58.5
13,59
9.4,59.3
16.4,59.5
20.9,59.7
5,65.8
1.4,54
7.9,41
17,42
25.9,46.1
22.6,53.8
12.1,49.2
13.6,51.6
15.2,55.6
1.5,44.5
13.8,42.6
14.8,44.8
16.3,51.3
12.8,46
9.2,45.4
8.9,49.1
5.9,47.4
4.4,45.8
9.5,50.2
4.7,56.4
7.5,55.2
7,47.3
9.1,37.7
23.4,47
28.2,56.8
14.3,60.1
14.2,60.3
33.7,56.4
24.9,58.4
4.4,57.6
7.5,46.1
4.1,48.9
3,50.5
-0.3,45.9
6.4,45.5
15.6,54.8
4.1,49.8
7,42.9
18.4,41.1
8.6,41.1
13.7,39.3
23.9,43.3
23.1,47.5
14.6,53.8
15.8,55.7
38.6,54.7
33.9,55.4
24.8,57.8
15.4,60.1
11.7,60.3
7.5,57.3
13.1,59.5
32.8,61.5
24.2,65.4
16.2,70.7
8.4,59.1
5.7,45.6
7.5,46.2
22.6,46.1
18.8,49.2
8.1,54.9
14.2,55.8
3.9,51.1
4.1,54.1
7.9,59.7
8.4,65
3.4,64.3
3.3,52.2
10.9,53
19.8,55.4
13,57.7
7,62.7
23.8,59.3
28.2,59.9
28.4,61.5
13.3,51.7
12.5,42.1
11.3,34.7
13.8,35.3
22,42.1
29.8,44.7
29.6,46
26.1,48
23.2,47.6
17.5,50
25.1,44
26.2,43.7
14.7,46.5
15.7,48.9
11.5,48.2
11.9,52.3
10.8,57.5
5.7,42.4
11,43.9
20.3,52.6
18.2,54.8
13.2,59.1
21.7,53.6
26.8,50.8
22.9,52.1
15.8,55.4
8.8,55.5
7.6,37.4
16.8,41.9
23.6,42.4
31.5,47
25.4,48.3
24.2,51.7
4.5,59.2
25.5,53.4
24.1,56.1
8.2,53.3
8.8,51.2
15.9,49.5
19.8,50.6
26.1,48.9
19.3,47
9.9,32.6
18.6,35.3
24.1,41.3
29.2,46.8
30,54
1.3,45.7
13.6,40.7
21.5,42.3
17.2,46.1
25.8,48.2
21.8,52.6
10.2,50.3
22.4,47.7
22.5,52.6
44.6,52
19.6,55.3
16.6,58.5
22.3,52.9
8.7,61
13.3,59.6
17.2,62.9
9.5,62.5
18.7,54.5
29.5,53.2
20.5,56.9
4.3,63.4
4.2,52.2
15.2,52.5
24.4,59
19.2,61.8
11,58.4
7.6,55.1
9.2,54.7
10.2,59.2
6,59.8
6,55.3
12.1,50.4
11.6,49.4
15.7,54
5.5,47.6
8.2,49.2
25.9,52.5
25.6,55.6
5.7,49.1
6,51
7.2,50
22.2,48.5
22.9,46.5
27.6,50.7
36.9,53.2
15.7,49.4
14.5,45.8
19.5,46.9
16.7,51.1
8.7,52.9
8,46.1
19.2,42.9
22.6,45
23.6,50.6
14.7,51.1
6.2,50.5
14.5,51.9
23.4,50.8
17.9,50.6
13.2,58.1
10.7,52.8
20.1,52.6
23.9,52.8
6.6,46.6
5.6,45.5
10.3,38
1.1,32.5
6.4,32.7
12.6,41.6
10.9,38.6
5.2,31.7
8.6,36.9
16,39
26.9,43.9
11.6,48.7
14.1,47.7
7.3,48.9
14.1,49.2
3.8,51.2
7.2,47
30,52.7
13.2,55.1
18,53.1
5.6,54.5
11.2,47.9
19,48.2
17,56.7
4.2,46.8
12.7,42.9
18.8,45.7
19.5,46.1
19.7,47
13.4,48.1
13.4,50.7
12.6,43.9
27.1,49.3
24.6,55
17.2,55.2
9.6,54.5
8.3,57.8
10.8,59.8
6.4,59
5.3,53
9.4,42.1
13.4,43.4
11.1,47.9
12.7,50.6
9.5,50.8
22.8,44.9
22.9,50.7
9.1,60.7
3.3,64.1
4.6,55.2
6.3,47.9
19,48.1
7,37.9
14.1,40.7
21.2,50
8.8,47.1
4.6,41.3
14.4,48
21.6,54.8
15,60
16.6,62
11.4,62.6
17,44.1
23.4,47.2
18.8,50.4
19.4,52.7
15.6,48.3
11.8,48.3
17.9,47
13.6,48.7
10.5,55.5
10.2,58.9
1.8,61.3
3.2,47.9
8.2,39.3
21.3,38.3
25.6,42.1
23.5,42.2
25.6,42.7
23,43.3
25.2,46.9
8.3,50.6
3.5,41.3
3.2,36.8
14.3,37.7
17.2,42.6
9.8,44.6
10.8,42.6
13.7,41.7
17,45.1
22.6,47.2
18.3,47.8
24.6,44.6
21.1,48.2
11.9,55.1
5.7,46.6
14.2,41.2
16.2,48.1
17.7,52.5
19.7,53.6
31.8,56
9.6,51.9
5.7,52.4
6.5,50.4
6.3,50
4.7,49.7
13.7,47.8
10.1,51.8
21.1,49.6
33.4,50.3
24.5,54.3
14.2,53.6
9.3,54
15.4,48.3
18.5,49.8
13.9,50.6
14.8,47.6
16.1,50.8
20,51.8
5.2,58.9
6.1,47.4
7.6,33.2
9.1,41.9
10.2,52.1
14.2,56.6
12.7,59.9
10.5,56.7
7.6,42.8
12.6,40.6
26.8,45.9
23.3,51.8
13.8,55.8
4.5,58
8.6,60.7
13.7,56.7
13.4,52.6
8.2,47.9
2.6,43.6
12.2,55
-0.2,56.8
1.3,53.8
6.3,47.6
10.2,38.9
17.3,47.1
20.9,52.9
15.2,59.1
17,50.5
23.8,47.1
32,45.1
40.2,46.9
22.5,46
7.9,37.2
17.4,35.3
19.4,38.8
13.8,43.6
17.2,51.2
22,51
23.1,50.2
19.5,50.6
22.1,56.1
5.3,46.9
13.6,43.6
16.5,48.4
16.3,51.6
22.3,53.8
11.6,49.4
7.6,44.4
6.9,39.8
15.2,40.2
15.2,50.6
25.7,53.4
9.8,49.9
9.6,48.8
12.5,54.6
22.2,57.8
12.1,64.3
6.8,61.7
8.2,54.9
13.7,53.2
10.2,57.1
10.7,60.1
13.2,60.7
13.3,61.1
18.8,57.3
18.1,56.7
13.7,52.8
4.6,24.2
