nitrogen,wind
3.8,11.6
9.4,5.3
21.8,4.1
11.2,10
15.1,5.6
14.1,7.8
9.1,7.7
5.2,9.8
7.9,7.2
9.3,5.6
16,5.4
22.8,5
20.3,5.3
11.9,10.1
8.3,10.4
14.3,5.7
12.1,6.8
19,4.7
20.1,6.1
12.5,7.9
11.4,5.5
23.4,3.2
33,3
8.2,9.6
16,6.4
6.4,8.4
11.1,4.9
16.2,4.8
17.2,5.6
7.4,9.9
5.3,10.4
2.8,14.3
4.5,13.5
16.6,5.8
20.1,4.4
18.7,5.1
18.7,4.8
13.8,5
23.8,6.2
27.3,4.2
23.6,3.1
17.8,4.2
27.6,3.3
24.5,4.3
14.2,5.7
15.3,4.9
22.4,4
25.4,4.5
21.8,6
18.8,3.9
16.4,4.7
8.1,6.8
7.8,10.4
4.4,9.9
19.8,3.8
17.7,5.8
20,5.7
25,3.8
15.2,5.3
16.1,7.6
33.3,3
20.7,5.3
4.2,9.4
15.8,3.3
9.2,7.8
11,6
15.2,6.4
7.3,12.4
12.5,6.9
16.4,3.7
9.4,7.8
13,6.4
9.4,5.8
16.4,5
20.9,4
5,10.4
1.4,13.9
7.9,7.5
17,7
25.9,3
22.6,4.7
12.1,10.3
13.6,4.4
15.2,6.8
1.5,12.9
13.8,3.4
14.8,5
16.3,5
12.8,8.2
9.2,5.6
8.9,5.9
5.9,7.1
4.4,7.9
9.5,5.4
4.7,8.3
7.5,9.2
7,9.3
9.1,8
23.4,3.1
28.2,4.4
14.3,7.3
14.2,7.4
33.7,3.3
24.9,6.6
4.4,10.5
7.5,4.9
4.1,10.2
3,10
-0.3,13.2
6.4,8.9
15.6,6
4.1,12.7
7,9.5
18.4,4.1
8.6,8.7
13.7,4.6
23.9,2.8
23.1,4.5
14.6,8.8
15.8,7.9
38.6,2.4
33.9,4
24.8,4.9
15.4,5.2
11.7,8.2
7.5,11.3
13.1,6.8
32.8,3.7
24.2,4.8
16.2,7.2
8.4,12.5
5.7,9.8
7.5,5.9
22.6,3.8
18.8,5.1
8.1,10.8
14.2,6.8
3.9,8.1
4.1,9.5
7.9,7.8
8.4,6.5
3.4,12.3
3.3,11.4
10.9,6.6
19.8,7.5
13,7.4
7,11.6
23.8,3.9
28.2,3.3
28.4,6.1
13.3,8.1
12.5,6.9
11.3,9.1
13.8,7.2
22,3.5
29.8,3.3
29.6,3.9
26.1,5.5
23.2,4.5
17.5,7
25.1,5.6
26.2,4.6
14.7,5.5
15.7,4.9
11.5,7.9
11.9,7.4
10.8,6.9
5.7,9.4
11,7.8
20.3,5.4
18.2,5.5
13.2,7.3
21.7,5.7
26.8,2.8
22.9,5.4
15.8,6.4
8.8,9
7.6,10.8
16.8,6.4
23.6,6.4
31.5,4.1
25.4,3.3
24.2,3.5
4.5,7.9
25.5,2.8
24.1,2.8
8.2,11.2
8.8,8.3
15.9,5.5
19.8,3.9
26.1,3
19.3,7.6
9.9,12.2
18.6,5.8
24.1,4.1
29.2,3.7
30,4.3
1.3,13.4
13.6,4.5
21.5,3.8
17.2,4.6
25.8,4
21.8,5.4
10.2,5.7
22.4,3.2
22.5,5.7
44.6,3.2
19.6,5.3
16.6,6.9
22.3,8.4
8.7,9
13.3,5.7
17.2,5.7
9.5,7.9
18.7,3.6
29.5,2.7
20.5,4.9
4.3,10.2
4.2,10.1
15.2,9.1
24.4,4.9
19.2,5.6
11,7.4
7.6,6.9
9.2,5.2
10.2,5.6
6,8.4
6,8.2
12.1,7.7
11.6,7.8
15.7,5.7
5.5,12.5
8.2,7.2
25.9,4.6
25.6,6.3
5.7,11.5
6,11.4
7.2,9.1
22.2,4.4
22.9,4
27.6,5.7
36.9,4
15.7,7.4
14.5,4.1
