ozone,wind
23,11.6
17,5.3
11,4.1
18,10
11,5.6
16,7.8
26,7.7
35,9.8
27,7.2
26,5.6
23,5.4
12,5
16,5.3
29,10.1
33,10.4
27,5.7
21,6.8
16,4.7
17,6.1
22,7.9
28,5.5
14,3.2
12,3
25,9.6
24,6.4
28,8.4
21,4.9
21,4.8
17,5.6
29,9.9
34,10.4
37,14.3
34,13.5
21,5.8
17,4.4
18,5.1
21,4.8
21,5
15,6.2
11,4.2
14,3.1
19,4.2
16,3.3
17,4.3
23,5.7
20,4.9
15,4
18,4.5
19,6
21,3.9
23,4.7
23,6.8
35,10.4
36,9.9
21,3.8
23,5.8
28,5.7
19,3.8
29,5.3
27,7.6
8,3
16,5.3
23,9.4
14,3.3
25,7.8
26,6
21,6.4
15,12.4
12,6.9
14,3.7
24,7.8
20,6.4
21,5.8
14,5
10,4
24,10.4
35,13.9
23,7.5
14,7
7,3
9,4.7
16,10.3
14,4.4
14,6.8
37,12.9
19,3.4
16,5
14,5
17,8.2
23,5.6
17,5.9
24,7.1
35,7.9
25,5.4
31,8.3
25,9.2
21,9.3
25,8
16,3.1
9,4.4
18,7.3
21,7.4
11,3.3
9,6.6
22,10.5
30,10.3
23,5.8
14,5.5
15,4.9
27,10.2
32,10
39,13.2
37,8.9
20,6
36,12.7
36,9.5
22,4.1
34,8.7
25,4.6
16,2.8
17,4.5
27,8.8
23,7.9
11,2.4
11,4
20,4.9
20,5.2
27,8.2
30,11.3
22,6.8
12,3.7
14,4.8
29,7.2
28,12.5
28,9.8
27,5.9
18,3.8
19,5.1
31,10.8
25,6.8
43,8.1
36,9.5
24,7.8
14,6.5
34,12.3
46,11.4
35,6.6
33,7.5
26,7.4
30,11.6
11,3.9
9,3.3
16,4.6
22,6.1
19,8.1
16,6.9
22,9.1
19,7.2
14,3.5
10,3.3
7,3.9
14,5.5
15,4.5
22,7
20,5.6
15,4.6
14,5.5
17,4.9
20,7.9
27,7.4
29,6.9
34,9.4
25,7.8
23,5.4
20,5.5
27,7.3
14,5.7
12,2.8
17,5.4
23,6.4
23,9
13,10.8
13,6.4
15,6.4
7,4.1
11,3.3
12,3.5
29,7.9
11,2.8
8,2.8
28,11.2
26,8.3
15,5.5
16,3.9
13,3
21,7.6
29,12.2
20,5.8
15,4.1
13,3.7
16,4.3
39,13.4
23,4.5
15,3.8
21,4.6
16,4
19,5.4
31,5.7
17,3.2
23,5.7
14,3.2
19,5.3
22,6.9
23,8.4
30,9
27,5.7
24,5.7
31,7.9
25,3.6
16,2.7
24,4.9
36,10.2
32,10.1
23,9.1
15,4.9
11,5.6
11,7.4
14,6.9
18,5.2
17,5.6
25,8.4
33,8.2
25,7.7
31,7.8
28,5.7
45,12.5
40,7.2
22,4.6
16,6.3
39,11.5
33,11.4
32,9.1
22,4.4
15,4
21,5.7
5,4
10,7.4
8,4.1
11,3.6
13,4
13,4.6
17,6.2
