pm10,humidity
12.3,62.8
14.7,75.4
17.9,68.1
13.7,62.6
14.6,83.5
14.5,70.7
15.8,57.6
12,69.5
13.5,61.6
14.9,60.7
20,51.6
21.1,44.7
17.2,45.7
19.2,31.8
18.5,29
20.6,47.9
19.3,32.7
26.5,31.6
31.4,24.3
22.7,24.9
21.8,29.7
31.3,31.8
47.4,30.6
49.2,22.6
22.1,28
18.8,40
16,49.6
20.5,36
20,26.8
29.2,17.1
25.9,19.8
30.8,46.7
19,43.9
15.7,33.8
21,28.5
23.1,24
21.4,19
16.7,22.4
31.6,24.1
35.5,24.3
34.2,25.3
25.2,21.6
38,20.2
36.8,16.7
22.6,14.3
22,15.6
27.9,18.9
38.8,20.4
41.2,16.9
31,16.7
26.8,17.9
30.6,21.8
49,36.4
26.5,29.3
28.9,37.3
26.3,24.7
34.9,23.5
32.4,19.4
26.4,12.7
28.3,13.9
55.7,35.4
32.7,36.9
15.8,69.6
30.2,58.5
16.2,46.9
21.2,39.9
30.5,46.9
20.1,59.3
19.6,68
22.5,59.8
23.2,37.9
23.1,33.7
20.8,38.6
28.1,41.5
35.4,35.5
54.5,16.8
149.9,32
24.8,31.1
33.3,29.5
57.5,33.4
41.8,36.4
17.5,73.9
19.3,68.5
26.3,57.3
13.7,49.3
20.3,51.3
18.5,45.5
19.5,43.4
19.4,58.3
16.3,68.8
16.4,74.4
14.4,75.2
12.8,57.2
17.2,52.1
14.7,39.5
15.5,43.8
20.6,46.2
16.2,37.5
32.9,38.2
38.3,37.2
19.5,28.5
15.7,25.2
41.4,26.8
34.1,31.2
23.4,62.4
11.6,74.9
20.6,61.2
19.3,69.1
18.1,72
14.9,54
19.8,43.8
16.2,58.7
13.2,47.2
26.8,36.6
58.4,33.5
24,42.5
47.8,34.9
41.7,28.7
44,20
83.9,32.5
17.7,64.9
14.2,62.2
24.7,43.4
22.2,41.2
29.8,36.2
94.3,43.8
15,48.6
13.3,45.7
17.3,38.5
20.3,28.7
81.8,17.4
19.9,16.7
22,14.8
37.7,16.7
29,24.7
129.7,17.9
48,27.8
53.4,31.5
38.2,29.9
34.3,31.7
42.6,29.6
20.5,78.8
17.4,70.9
17.6,62.8
36,53.9
42.3,45
47.1,38.6
42.5,29
35.4,30.9
36.1,36.8
42.8,38.8
41.3,47.2
29.7,65.7
16.9,77.1
17.9,64.6
18.3,47.7
23.2,27.6
22.7,30.3
17.5,34.3
31.5,26.3
39.3,25.2
18.5,17.2
35.3,29.8
39.9,36.3
30.4,29.3
21.6,27.8
27.1,26.3
21,45.6
27.9,36.1
27.6,27.2
44.5,24.1
42,36.2
34,37.5
19.2,28
51,34.4
51.6,36.8
33,47.9
25.7,41.5
26.3,36.9
35.7,31.4
39.4,34.1
36.6,36.5
22.9,32.3
27.9,32.3
37.1,33.5
47.5,31.2
54.3,26
47.3,30.4
26.4,28.8
37.6,19.9
26.3,16.6
35.1,23.2
39,22.8
22.2,17.3
28.8,18
28.4,19.9
55.9,29.7
37.8,29.3
29,14
45.7,25.8
31.4,25.2
22.7,18.5
29.9,16.4
28.3,18.6
46.2,32.5
45.2,24.2
35.1,18.9
65.6,15.5
26.7,26.4
32.9,25.9
39.4,21.2
43.6,25
23.5,62.1
15.1,80.6
17.5,71.4
22,55.5
33.2,42.9
20,40.8
29,41.7
30.2,31.5
29.5,23.6
25.8,21.4
18.5,16.1
38.7,15.6
61.9,23.7
36,42.3
18.3,47.2
17.9,47.1
33.2,34.3
34.8,39.1
46.7,39.6
63.3,46.7
23.2,73.8
30.7,79.8
28.8,72.9
25.9,50.9
24,49
24,58.4
33.5,23.8
35,26.9
39.8,27.3
35.4,25.7
22.5,59.4
14.6,63.1
16.7,42.8
35.9,33.8
24.2,40.4
17.7,24.7
18.7,27.2
33.8,35.4
38.1,30
19.5,58.6
15.7,50.6
16,73.7
12.6,66.8
15.5,62.5
35.7,44.8
28.2,49
17.4,66.9
16.8,62
24.5,48.9
35.4,43.2
29,55.2
16.8,52.6
25.6,46.4
24.6,35.3
24.7,64.8
17.3,60.3
16.6,46.5
17.2,48.4
20.4,55.4
41.6,48.7
26.7,45.1
27.8,46.9
49.6,39.8
19.8,27.6
29.1,27
59.3,21.6
20.5,30.3
21.1,28.3
23.6,24
29,24.5
35.6,21.9
23,20.9
30,24
38.2,37.3
58.8,35
44.9,30.6
30.1,38.6
17.6,54.1
24.3,48.7
19.6,43.4
22.4,49.9
49.7,55.3
20.4,28.1
28.9,27.5
30.1,32.4
27,43.8
34.9,38.9
28.8,19.3
34,19.1
25.5,20
24.7,41.6
40.7,38.6
17.4,25.8
30.2,23.6
27.1,44.3
24.4,29.8
35.2,20.3
68.9,41.3
15.6,47.2
17.5,29.7
26.8,17.9
22.2,16.1
22.3,14.4
23.3,17.3
18.8,47.1
25,45.3
19.2,46.3
24.4,49.3
15.2,47.3
24.7,47.1
25.3,49.2
19.3,53.9
11.8,84.3
17.8,72.9
28.7,73.4
15.8,68
12.3,48.9
15.7,41.4
25.3,30.6
11.8,28
12.8,25.3
19,33
36,36
31.2,41
30.9,34
28.6,34.8
51.3,35.6
31.8,60.1
12.2,62.8
14.2,56.1
14.6,52.5
9.8,63.1
8.3,51.9
12.9,37
23.9,32.4
12.8,39.6
15.2,69.2
10.3,50
14.2,39
25.2,40.5
26.5,33
17.8,22.4
17.1,27.3
22.8,22.7
21,39.9
15.9,33
27.3,27
25,24.6
32.5,21.4
55.5,20.1
25.8,51.6
16.5,54.4
13.7,37.3
13.9,36.8
12.9,33.1
15.1,61.4
11.1,60.7
19.4,43.9
36.1,41.6
24.5,34.2
17.4,35.8
21.7,40.7
15.6,30.4
22.8,24.9
19.3,30.2
20.1,31.1
17.4,22.4
29.7,20.9
42.2,28.2
12.6,58.8
10.2,64.3
19.6,34.5
15.9,30.8
17.9,27.6
19.6,25.5
16.2,58
12.2,74.5
17.7,71.7
48.5,59.3
33.5,46.8
16.7,36.9
12.1,25.9
15.3,24.1
27.4,37.3
29.5,49.1
35.1,54.9
16.6,54.2
26.2,46.7
23.7,41
11.7,40.2
16,26.6
23.1,24.5
21.2,20
25.6,18.5
28.2,17.1
24.3,27.9
17.1,32.5
19.9,28.7
30.2,27.4
34.2,23.2
30.9,27.4
44.9,25.9
45.6,23.5
72.3,21
41.9,51.6
14.7,53.4
16.4,37.2
17.9,24.9
43.1,33.8
17.9,30.6
15.8,32.9
33.7,27.2
28.3,24.6
19.6,31.8
19.6,29.7
30.9,24.4
24,24.5
55.4,16.7
20.2,14.1
32.5,14.6
20.2,17.3
24.8,26.7
46.3,22.4
25.7,30.8
18.7,38.7
18.9,42.9
33.9,32.9
19.8,28.9
13.8,22.7
32.6,22
29.9,23.4
31.5,20.7
41.6,20.2
55.6,20.5
42,38.1
12.4,52.7
19.4,53.8
21.8,40.8
19.6,28.7
23.8,17.6
26.3,15
32.7,15.6
28.5,18.6
44.5,15.1
59.4,34.6
21.1,67.1
15.9,75.9
21.8,65.4
24.4,50.3
59.1,47.7
19.5,43.4
15.7,61.5
12.3,43.9
18.4,20.2
33.2,38.8
17.1,31.9
14.9,26.2
18.8,27.4
27.7,26
19.9,21.3
16.9,26.9
17.6,21.1
18.7,19.4
19.8,13
17.8,12
18.3,13.5
19.5,13.6
21.6,18.2
27.9,24
23.7,35.9
17.4,65.1
20.3,67.5
24.9,71.3
13.3,45.7
14.2,58.4
19.2,42.3
39.1,28.8
21.7,15.2
16.1,18
24.2,16.1
18.8,9.3
30.8,10
34.7,21.7
28.1,10
24.6,8.7
