pm10,pm25
12.3,3.1
14.7,5.1
17.9,6.7
13.7,2.6
14.6,5
14.5,4
15.8,2.8
12,2.3
13.5,4
14.9,4.8
20,7
21.1,6.7
17.2,4.3
19.2,3.1
18.5,3.2
20.6,7.7
19.3,5.1
26.5,6.9
31.4,7.5
22.7,4.3
21.8,5
31.3,9.4
47.4,14.2
49.2,8.6
22.1,5.3
18.8,3.7
16,3.9
20.5,5.4
20,4.5
29.2,4.5
25.9,4.1
30.8,4.8
19,4
15.7,7.1
21,4.5
23.1,6.6
21.4,5.2
16.7,3.9
31.6,6.2
35.5,8.8
34.2,8.9
25.2,6.1
38,9.7
36.8,9.6
22.6,5
22,4.4
27.9,6.5
38.8,9.2
41.2,9.7
31,8.6
26.8,8.1
30.6,8
49,9.8
26.5,4.7
28.9,7.2
26.3,5.8
34.9,7.8
32.4,8.1
26.4,6.8
28.3,6.9
55.7,20.1
32.7,9.7
15.8,7
30.2,15.1
16.2,5.4
21.2,8.7
30.5,12.2
20.1,6.7
19.6,7
22.5,9.1
23.2,7.2
23.1,6.6
20.8,5.7
28.1,8.6
35.4,10
54.5,8.5
149.9,17.7
24.8,8.1
33.3,10.4
57.5,19.1
41.8,16.8
17.5,7.2
19.3,8.9
26.3,9.6
13.7,4.9
20.3,11.1
18.5,8.1
19.5,8.7
19.4,7.3
16.3,6.3
16.4,7.7
14.4,7.1
12.8,5.6
17.2,7.7
14.7,5.1
15.5,5.2
20.6,5.6
16.2,5.8
32.9,15.5
38.3,13.4
19.5,4.8
15.7,4.5
41.4,12.8
34.1,11.5
23.4,11.7
11.6,4.5
20.6,8.4
19.3,7.5
18.1,8.2
14.9,5
19.8,7.1
16.2,5.3
13.2,5.2
26.8,6.7
58.4,6.6
24,6.7
47.8,12.8
41.7,11.2
44,11.1
83.9,13.5
17.7,6
14.2,4.7
24.7,8.2
22.2,6.4
29.8,6.6
94.3,14.1
15,4.8
13.3,4.1
17.3,4.8
20.3,5
81.8,12.1
19.9,6
22,7.3
37.7,7.9
29,7.3
129.7,20.7
48,11.7
53.4,14
38.2,12.3
34.3,9.2
42.6,8.7
20.5,5.9
17.4,5.9
17.6,5.6
36,15.2
42.3,15.3
47.1,13.7
42.5,11.6
35.4,10.3
36.1,11.2
42.8,15.9
41.3,15.7
29.7,15.5
16.9,6.7
17.9,6.7
18.3,5.8
23.2,5.7
22.7,7.6
17.5,5.1
31.5,12.2
39.3,16.7
18.5,5.2
35.3,9.7
39.9,14.6
30.4,9.5
21.6,6.4
27.1,10
21,7.8
27.9,9.9
27.6,6.8
44.5,12.7
42,13.4
34,11.2
19.2,3.7
51,14.2
51.6,14.7
33,7.2
25.7,9.1
26.3,7.9
35.7,11.8
39.4,15.4
36.6,9.5
22.9,4.8
27.9,7.4
37.1,10.4
47.5,16.2
54.3,16.8
47.3,7.9
26.4,9.1
37.6,14.2
26.3,7.2
35.1,9.6
