pm10,radiation
12.3,0.062
14.7,0.055
17.9,0.222
13.7,0.058
14.6,0.097
14.5,0.153
15.8,0.204
12,0.144
13.5,0.232
14.9,0.163
20,0.236
21.1,0.239
17.2,0.241
19.2,0.245
18.5,0.2
20.6,0.24
19.3,0.241
26.5,0.249
31.4,0.253
22.7,0.254
21.8,0.253
31.3,0.257
47.4,0.247
49.2,0.25
22.1,0.261
18.8,0.228
16,0.266
20.5,0.269
20,0.276
29.2,0.278
25.9,0.277
30.8,0.116
19,0.263
15.7,0.29
21,0.293
23.1,0.294
21.4,0.298
16.7,0.271
31.6,0.286
35.5,0.301
34.2,0.306
25.2,0.311
38,0.311
36.8,0.307
22.6,0.314
22,0.315
27.9,0.322
38.8,0.322
41.2,0.322
31,0.24
26.8,0.304
30.6,0.26
49,0.331
26.5,0.338
28.9,0.341
26.3,0.345
34.9,0.344
32.4,0.347
26.4,0.357
28.3,0.33
55.7,0.212
32.7,0.185
15.8,0.09
30.2,0.212
16.2,0.211
21.2,0.189
30.5,0.058
20.1,0.136
19.6,0.156
22.5,0.205
23.2,0.197
23.1,0.177
20.8,0.198
28.1,0.2
35.4,0.204
54.5,0.15
149.9,0.149
24.8,0.189
33.3,0.153
57.5,0.187
41.8,0.079
17.5,0.093
19.3,0.197
26.3,0.201
13.7,0.202
20.3,0.182
18.5,0.174
19.5,0.184
19.4,0.061
16.3,0.095
16.4,0.132
14.4,0.1
12.8,0.208
17.2,0.201
14.7,0.205
15.5,0.216
20.6,0.161
16.2,0.209
32.9,0.208
38.3,0.193
19.5,0.21
15.7,0.218
41.4,0.169
34.1,0.123
23.4,0.172
11.6,0.12
20.6,0.218
19.3,0.098
18.1,0.212
14.9,0.186
19.8,0.216
16.2,0.118
13.2,0.233
26.8,0.235
58.4,0.249
24,0.269
47.8,0.253
41.7,0.271
44,0.263
83.9,0.178
17.7,0.123
14.2,0.119
24.7,0.194
22.2,0.29
29.8,0.214
94.3,0.168
15,0.262
13.3,0.303
17.3,0.306
20.3,0.311
81.8,0.303
19.9,0.317
22,0.32
37.7,0.244
29,0.299
129.7,0.279
48,0.123
53.4,0.144
38.2,0.197
34.3,0.18
42.6,0.102
20.5,0.026
17.4,0.08
17.6,0.206
36,0.2
42.3,0.196
47.1,0.171
42.5,0.2
35.4,0.195
36.1,0.195
42.8,0.192
41.3,0.189
29.7,0.076
16.9,0.129
17.9,0.191
18.3,0.197
23.2,0.125
22.7,0.196
17.5,0.176
31.5,0.192
39.3,0.198
18.5,0.186
35.3,0.14
39.9,0.197
30.4,0.202
21.6,0.204
27.1,0.189
21,0.216
27.9,0.216
27.6,0.211
44.5,0.074
42,0.215
34,0.186
19.2,0.21
51,0.195
51.6,0.175
33,0.128
25.7,0.234
26.3,0.237
35.7,0.236
39.4,0.222
36.6,0.186
22.9,0.166
27.9,0.201
37.1,0.245
47.5,0.24
54.3,0.244
47.3,0.25
26.4,0.234
37.6,0.256
26.3,0.259
35.1,0.254
39,0.234
22.2,0.264
28.8,0.268
28.4,0.267
55.9,0.266
37.8,0.272
29,0.257
45.7,0.245
31.4,0.22
22.7,0.285
29.9,0.288
28.3,0.245
46.2,0.29
45.2,0.292
35.1,0.296
65.6,0.27
26.7,0.237
32.9,0.272
39.4,0.287
43.6,0.214
23.5,0.109
15.1,0.097
17.5,0.208
22,0.254
33.2,0.221
20,0.282
29,0.317
30.2,0.329
29.5,0.327
25.8,0.344
18.5,0.346
38.7,0.347
61.9,0.209
36,0.256
18.3,0.23
17.9,0.165
33.2,0.193
34.8,0.198
46.7,0.146
63.3,0.106
23.2,0.047
30.7,0.11
28.8,0.198
25.9,0.214
24,0.14
24,0.159
33.5,0.218
35,0.219
39.8,0.186
35.4,0.109
22.5,0.116
14.6,0.155
16.7,0.22
35.9,0.216
24.2,0.164
17.7,0.214
18.7,0.213
33.8,0.216
38.1,0.116
19.5,0.144
15.7,0.208
16,0.052
12.6,0.122
15.5,0.211
35.7,0.223
28.2,0.216
17.4,0.113
16.8,0.225
24.5,0.227
35.4,0.213
29,0.073
16.8,0.221
25.6,0.129
24.6,0.11
24.7,0.138
17.3,0.23
16.6,0.221
17.2,0.229
20.4,0.214
41.6,0.233
26.7,0.196
27.8,0.205
49.6,0.209
19.8,0.249
29.1,0.238
59.3,0.225
20.5,0.224
21.1,0.257
23.6,0.258
29,0.263
35.6,0.263
23,0.229
30,0.267
38.2,0.141
58.8,0.201
44.9,0.259
30.1,0.197
17.6,0.204
24.3,0.234
19.6,0.276
22.4,0.124
49.7,0.246
20.4,0.295
28.9,0.294
30.1,0.209
27,0.074
34.9,0.274
28.8,0.305
34,0.234
25.5,0.209
24.7,0.269
40.7,0.308
17.4,0.318
30.2,0.317
27.1,0.207
24.4,0.314
35.2,0.325
68.9,0.279
15.6,0.336
17.5,0.336
26.8,0.324
22.2,0.348
22.3,0.21
23.3,0.35
18.8,0.234
25,0.225
