pm10,wind
12.3,11.6
14.7,5.3
17.9,4.1
13.7,10
14.6,5.6
14.5,7.8
15.8,7.7
12,9.8
13.5,7.2
14.9,5.6
20,5.4
21.1,5
17.2,5.3
19.2,10.1
18.5,10.4
20.6,5.7
19.3,6.8
26.5,4.7
31.4,6.1
22.7,7.9
21.8,5.5
31.3,3.2
47.4,3
49.2,9.6
22.1,6.4
18.8,8.4
16,4.9
20.5,4.8
20,5.6
29.2,9.9
25.9,10.4
30.8,14.3
19,13.5
15.7,5.8
21,4.4
23.1,5.1
21.4,4.8
16.7,5
31.6,6.2
35.5,4.2
34.2,3.1
25.2,4.2
38,3.3
36.8,4.3
22.6,5.7
22,4.9
27.9,4
38.8,4.5
41.2,6
31,3.9
26.8,4.7
30.6,6.8
49,10.4
26.5,9.9
28.9,3.8
26.3,5.8
34.9,5.7
32.4,3.8
26.4,5.3
28.3,7.6
55.7,3
32.7,5.3
15.8,9.4
30.2,3.3
16.2,7.8
21.2,6
30.5,6.4
20.1,12.4
19.6,6.9
22.5,3.7
23.2,7.8
23.1,6.4
20.8,5.8
28.1,5
35.4,4
54.5,10.4
149.9,13.9
24.8,7.5
33.3,7
57.5,3
41.8,4.7
17.5,10.3
19.3,4.4
26.3,6.8
13.7,12.9
20.3,3.4
18.5,5
19.5,5
19.4,8.2
16.3,5.6
16.4,5.9
14.4,7.1
12.8,7.9
17.2,5.4
14.7,8.3
15.5,9.2
20.6,9.3
16.2,8
32.9,3.1
38.3,4.4
19.5,7.3
15.7,7.4
41.4,3.3
34.1,6.6
23.4,10.5
11.6,10.3
20.6,5.8
19.3,5.5
18.1,4.9
14.9,10.2
19.8,10
16.2,13.2
13.2,8.9
26.8,6
58.4,11.3
24,6.8
47.8,3.7
41.7,4.8
44,7.2
83.9,12.5
17.7,9.8
14.2,5.9
24.7,3.8
22.2,5.1
29.8,10.8
94.3,6.8
15,8.1
13.3,9.5
17.3,7.8
20.3,6.5
81.8,12.3
19.9,11.4
22,6.6
37.7,7.5
29,7.4
129.7,11.6
48,3.9
53.4,3.3
38.2,4.6
34.3,6.1
42.6,8.1
20.5,6.9
17.4,9.1
17.6,7.2
36,3.5
42.3,3.3
47.1,3.9
42.5,5.5
35.4,4.5
36.1,7
42.8,5.6
41.3,4.6
29.7,5.5
16.9,4.9
17.9,7.9
18.3,7.4
23.2,6.9
22.7,9.4
17.5,7.8
31.5,5.4
39.3,5.5
18.5,7.3
35.3,5.7
39.9,2.8
30.4,5.4
21.6,6.4
27.1,9
21,10.8
27.9,6.4
27.6,6.4
44.5,4.1
42,3.3
34,3.5
19.2,7.9
51,2.8
51.6,2.8
33,11.2
25.7,8.3
26.3,5.5
35.7,3.9
39.4,3
36.6,7.6
22.9,12.2
27.9,5.8
37.1,4.1
47.5,3.7
54.3,4.3
47.3,13.4
26.4,4.5
37.6,3.8
26.3,4.6
35.1,4
39,5.4
22.2,5.7
28.8,3.2
28.4,5.7
55.9,3.2
