pm25,temp
3.1,38.4
5.1,37.9
6.7,38.4
2.6,42.2
5,43.9
4,47.9
2.8,46.4
2.3,40.4
4,39.4
4.8,39.3
7,40.7
6.7,38.8
4.3,41.4
3.1,48.3
3.2,48.9
7.7,44.3
5.1,50.4
6.9,49.4
7.5,54.5
4.3,55.8
5,48.5
9.4,45.9
14.2,48.2
8.6,54.7
5.3,49.1
3.7,44.6
3.9,41.2
5.4,46.8
4.5,52
4.5,59.1
4.1,60.3
4.8,47.2
4,38.7
7.1,36.4
4.5,36.7
6.6,39.9
5.2,43
3.9,47.1
6.2,49.8
8.8,50.7
8.9,54.2
6.1,56.5
9.7,57.5
9.6,59.7
5,60.8
4.4,59
6.5,60.1
9.2,62.3
9.7,67.2
8.6,69.1
8.1,67.5
8,65.2
9.8,60.7
4.7,51.1
7.2,46.7
5.8,51.3
7.8,55.7
8.1,60.1
6.8,65.2
6.9,65.3
20.1,45.9
9.7,50.6
7,45.2
15.1,47
5.4,48.8
8.7,54
12.2,52.9
6.7,39.1
7,38.5
9.1,46.9
7.2,58.5
6.6,59
5.7,59.3
8.6,59.5
10,59.7
8.5,65.8
17.7,54
8.1,41
10.4,42
19.1,46.1
16.8,53.8
7.2,49.2
8.9,51.6
9.6,55.6
4.9,44.5
11.1,42.6
8.1,44.8
8.7,51.3
7.3,46
6.3,45.4
7.7,49.1
7.1,47.4
5.6,45.8
7.7,50.2
5.1,56.4
5.2,55.2
5.6,47.3
5.8,37.7
15.5,47
13.4,56.8
4.8,60.1
4.5,60.3
12.8,56.4
11.5,58.4
11.7,57.6
4.5,46.3
8.4,47.7
7.5,46.5
8.2,46.1
5,48.9
7.1,50.5
5.3,45.9
5.2,45.5
6.7,54.8
4.5,49.8
4.6,42.9
9.3,41.1
5.8,41.1
7.9,39.3
11.8,43.3
8.5,47.5
5.1,53.8
5.6,55.7
16.4,54.7
14.1,55.4
11.1,57.8
7.3,60.1
5.2,60.3
6.6,57.3
6.7,59.5
12.8,61.5
11.2,65.4
11.1,70.7
13.5,59.1
6,45.6
4.7,46.2
8.2,46.1
6.4,49.2
6.6,54.9
14.1,55.8
4.8,51.1
4.1,54.1
4.8,59.7
5,65
12.1,64.3
6,52.2
7.3,53
7.9,55.4
7.3,57.7
20.7,62.7
11.7,59.3
14,59.9
12.3,61.3
9.2,61.5
8.7,51.7
5.9,42.1
5.9,34.7
5.6,35.3
15.2,42.1
15.3,44.7
13.7,46
11.6,48
10.3,47.6
11.2,50
15.9,44
15.7,43.7
15.5,46.5
6.7,48.9
6.7,48.2
5.8,52.3
5.7,57.5
7.6,42.4
5.1,43.9
12.2,52.6
16.7,54.8
5.2,59.1
9.7,53.6
14.6,50.8
9.5,52.1
6.4,55.4
10,55.5
7.8,37.4
9.9,41.9
6.8,42.4
12.7,47
13.4,48.3
11.2,51.7
3.7,59.2
14.2,53.4
14.7,56.1
7.2,53.3
9.1,51.2
7.9,49.5
11.8,50.6
15.4,48.9
9.5,47
4.8,32.6
7.4,35.3
10.4,41.3
16.2,46.8
16.8,54
7.9,45.7
9.1,40.7
14.2,42.3
7.2,46.1
9.6,48.2
11.2,52.6
5.8,50.3
9.7,47.7
7.6,52.6
17.2,52
11.6,55.3
7.9,58.5
10.2,52.9
6.7,61
6.8,59.6
8.1,62.9
6.1,62.5
8.6,54.5
11,53.2
7.7,56.9
9.4,63.4
5.9,52.2
7.9,52.5
10.5,59
13,61.8
6.2,58.4
4.8,55.1
5.6,54.7
7,59.2
5.1,59.8
5.3,55.3
6.7,50.4
7,49.4
6.4,54
5.9,47.6
5.2,49.2
10.4,52.5
13,55.6
6,49.1
5.2,51
5.4,50
8.6,48.5
8.5,46.5
10.7,50.7
15.9,53.2
8.1,49.4
13.8,45.8
14.1,46.4
8.4,46.9
6.8,51.1
6.4,52.9
5.9,46.1
10.8,42.9
11,45
10.2,50.6
6.4,51.1
4,50.5
4.6,51.9
11.1,50.8
7.2,50.6
4.9,58.1
5.1,52.8
13.1,52.6
18.3,52.8
5.4,46.6
5,45.5
5.6,38
3.9,32.5
5.9,32.7
23.3,41.6
14,38.6
6.5,31.7
6.3,36.9
9.4,39
15.5,43.9
11.5,49.3
4.7,48.7
7.4,47.7
4.8,48.9
7.2,49.2
4.7,51.2
4.5,47
4.3,48.4
6.4,48.5
14.1,52.7
7.5,55.1
7.8,53.1
6.5,54.5
6.1,47.9
9.7,48.2
11.3,56.7
5,46.8
6.2,42.9
6.7,45.7
9.1,46.1
13.1,47
6.8,48.1
6.5,50.7
6.4,43.9
18,49.3
12.6,55
8.5,55.2
6,54.5
6.6,57.8
8.3,59.8
5.2,59
6.1,53
5.4,42.1
5.2,43.4
6.9,47.9
9,50.6
6.3,50.8
7.1,44.9
8.4,50.7
5.6,60.7
4.9,64.1
6.1,55.2
4.1,47.9
7,48.1
5.5,37.9
6.5,40.7
9.2,50
10.6,47.1
6.3,41.3
6,48
8.1,54.8
6.7,60
6.1,62
5.8,62.6
10.8,44.1
10.1,47.2
8.4,50.4
10.6,52.7
5,57.9
7.8,54.4
9,55.2
6.9,58
8.2,48.3
8.4,48.3
8.9,47
7,48.7
4.7,55.5
5.3,58.9
5.8,61.3
5.1,47.9
6.2,39.3
6.5,38.3
13.5,42.1
13.8,42.2
13,42.7
13.1,43.3
19.6,46.9
17.4,46
7,49.2
6.1,50.2
6.1,50.6
4.5,41.3
5.2,36.8
6.5,37.7
13.6,42.6
3.9,44.6
6.8,42.6
3.7,41.7
5.6,45.1
10.5,47.2
7.7,47.8
5.2,44.6
5.2,48.2
3.3,55.1
4.2,46.6
5.9,41.2
11.1,48.1
7.9,52.5
7.9,53.6
13.9,56
8.2,51.9
4.8,52.4
3.5,50.4
3.4,50
2.3,49.7
4.7,47.8
2.9,51.8
6.1,49.6
10.8,50.3
7.9,54.3
4.5,53.6
3.3,54
4.3,48.3
5.3,49.8
4.7,50.6
5.7,47.6
5.3,50.8
9.7,51.8
4.7,58.9
4,47.4
3.2,33.2
4.7,41.9
4.7,52.1
6,56.6
5.6,59.9
4.4,56.7
4,42.8
8.7,40.6
16.7,45.9
8.5,51.8
5.8,55.8
3.2,58
3.9,60.7
6.8,56.7
7.5,52.6
7.7,47.9
5.2,43.6
7.9,55
4.8,56.8
3.7,53.8
4.9,47.6
4.3,38.9
4.1,47.1
6.2,52.9
7,59.1
5.3,48.1
3.3,42.9
5.1,38.9
9.1,40.8
11.2,44.9
10.2,47
13.7,47.1
13.1,48.8
20.4,50.2
11.2,50.8
4.1,50.5
4.4,52.7
6.9,43.5
10.9,41.8
7.5,43.9
4.3,41.1
4.8,44.2
8.7,50.9
7,36.8
14.7,39
4.9,45.5
6.6,54
12.4,55.5
7.3,52
5.9,41.4
7.3,37.6
18.2,38.9
6,41.6
2.9,47.3
8.8,49.2
7.7,50.5
9.2,47.1
12,45.1
14.6,46.9
9.4,46
3.4,37.2
5.8,35.3
6.8,38.8
5.3,43.6
6.1,51.2
7.1,51
10.4,50.2
9.2,50.6
10.9,56.1
8.9,46.9
8,43.6
5.6,48.4
7.6,51.6
8.5,53.8
8.8,49.4
3.2,44.4
4.3,39.8
3.6,40.2
3.5,50.6
7.7,53.4
4.3,49.9
4.4,48.8
4,54.6
6.3,57.8
3.9,64.3
2.4,61.7
2.6,54.9
4.5,53.2
5.4,57.1
3.9,60.1
4.5,60.7
4.2,61.1
5.9,57.3
7,56.7
5,52.8
5.7,24.2
11.3,22.9
12.5,36.6
4.9,44.7
6.1,40.1
8.9,43.6
11.8,56.3
9.5,53.6
6.1,50.3
8.8,55.1
6.7,61.4
10.7,60.5
13.9,54
10.7,57.7
8.7,54.8
