radiation,carbon 
0.201,0.3
0.245,0.4
0.24,0.5
0.244,0.7
0.25,0.2
0.234,0.3
0.256,0.6
0.259,0.4
0.254,0.6
0.234,0.5
0.264,0.3
0.268,0.5
0.267,0.4
0.266,0.8
0.272,0.5
0.257,0.4
0.245,0.4
0.22,0.2
0.285,0.3
0.288,0.4
0.245,0.2
0.29,0.4
0.292,0.5
0.296,0.3
0.27,0.2
0.237,0.2
0.272,0.3
0.287,0.5
0.214,0.5
0.109,0.3
0.097,0.3
0.208,0.3
0.254,0.5
0.221,0.2
0.282,0.2
0.317,0.3
0.329,0.3
0.327,0.3
0.344,0.1
0.346,0.2
0.347,0.5
0.209,0.5
0.256,0.2
0.23,0.3
0.165,0.3
0.193,0.5
0.198,0.5
0.146,0.7
0.106,0.8
0.047,0.5
0.11,0.7
0.198,0.7
0.214,0.6
0.14,0.4
0.159,0.3
0.218,0.3
0.219,0.5
0.186,0.7
0.109,0.5
0.116,0.4
0.155,0.3
0.22,0.3
0.216,0.6
0.164,0.4
0.214,0.3
0.213,0.3
0.216,0.6
0.116,0.8
0.144,0.3
0.208,0.3
0.052,0.3
0.122,0.2
0.211,0.3
0.223,0.6
0.216,0.5
0.113,0.3
0.225,0.3
0.227,0.4
0.213,0.6
0.073,0.5
0.221,0.3
0.129,0.4
0.11,0.3
0.138,0.4
0.23,0.3
0.221,0.3
0.229,0.2
0.214,0.4
0.233,0.7
0.196,0.4
0.205,0.4
0.209,0.2
0.249,0.3
0.238,0.5
0.225,0.5
0.224,0.2
0.257,0.3
0.258,0.4
0.263,0.4
0.263,0.5
0.229,0.4
0.267,0.3
0.141,0.3
0.201,0.7
0.259,0.5
0.197,0.4
0.204,0.3
0.234,0.2
0.276,0.3
0.124,0.2
0.246,0.2
0.295,0.3
0.294,0.2
0.209,0.3
0.074,0.4
0.274,0.3
0.305,0.4
0.234,0.4
0.209,0.3
0.269,0.3
0.308,0.2
0.318,0.2
0.317,0.4
0.207,0.2
0.314,0.4
0.325,0.5
0.279,0.3
0.336,0.2
0.336,0.4
0.324,0.4
0.348,0.3
0.21,0.3
0.35,0.3
0.234,0.4
0.225,0.5
0.233,0.3
0.099,0.4
0.219,0.3
0.221,0.5
0.198,0.5
0.095,0.3
0.032,0.4
0.174,0.4
0.187,0.5
0.224,0.3
0.22,0.2
0.222,0.3
0.219,0.2
0.208,0.2
0.224,0.2
0.224,0.3
0.18,0.5
0.219,0.4
0.217,0.5
0.178,0.6
0.191,0.8
0.084,0.7
0.218,0.3
0.218,0.4
0.181,0.3
0.148,0.2
0.225,0.2
0.223,0.3
0.221,0.4
0.223,0.2
0.066,0.4
0.228,0.3
0.235,0.3
0.229,0.5
0.231,0.3
0.209,0.4
0.226,0.4
0.234,0.3
0.196,0.2
0.237,0.4
0.24,0.5
0.242,0.4
0.232,0.5
0.117,0.8
0.097,0.3
0.24,0.3
0.248,0.3
0.243,0.3
0.212,0.2
0.046,0.3
0.25,0.2
0.257,0.3
0.253,0.5
0.258,0.3
0.264,0.2
0.192,0.2
0.27,0.2
0.263,0.3
0.266,0.2
0.274,0.2
0.28,0.2
0.218,0.4
0.236,0.2
0.194,0.2
0.177,0.2
0.267,0.2
0.295,0.2
0.3,0.3
0.268,0.3
0.248,0.3
0.094,0.2
0.114,0.4
0.3,0.8
0.305,0.5
0.31,0.3
0.317,0.2
0.292,0.2
0.303,0.3
0.189,0.3
0.32,0.3
0.17,0.2
0.291,0.4
0.322,0.2
0.343,0.2
0.346,0.2
0.35,0.3
0.345,0.5
0.229,0.7
0.318,0.8
0.227,0.2
0.208,0.1
0.221,0.2
0.227,0.3
0.228,0.3
0.228,0.4
0.217,0.6
0.226,0.6
0.22,0.8
0.096,0.4
0.224,0.1
0.213,0.1
0.223,0.2
0.204,0.4
0.223,0.2
0.222,0.2
0.218,0.5
0.16,0.3
0.221,0.2
0.223,0.2
0.217,0.4
0.181,0.2
0.219,0.1
0.185,0.2
0.165,0.4
0.222,0.2
0.222,0.3
0.218,0.5
0.205,0.3
0.081,0.2
0.219,0.3
0.187,0.5
0.223,0.2
0.22,0.1
0.228,0.4
0.213,0.4
0.23,0.3
0.23,0.4
0.222,0.6
0.223,0.3
0.076,0.2
0.206,0.2
0.237,0.2
0.241,0.2
0.21,0.2
0.247,0.3
0.236,0.3
0.249,0.3
0.251,0.4
0.095,0.1
0.121,0.2
0.099,0.2
0.256,0.3
0.258,0.4
0.239,0.2
0.249,0.1
0.242,0.2
0.276,0.2
0.237,0.2
0.113,0.4
0.281,0.2
0.283,0.2
0.248,0.2
0.246,0.2
0.281,0.1
0.286,0.1
0.295,0.1
0.302,0.2
0.302,0.2
0.304,0.1
0.308,0.1
0.275,0.1
0.31,0.1
0.232,0.2
0.265,0.2
0.129,0.1
0.205,0.3
0.084,0.4
0.286,0.1
0.238,0.2
0.338,0.2
0.336,0.3
0.343,0.2
0.351,0.2
0.353,0.2
0.349,0.2
0.34,0.2
0.284,0.3
0.305,0.2
0.36,0.1
