radiation,ozone
0.062,23
0.055,17
0.222,11
0.058,18
0.097,11
0.153,16
0.204,26
0.144,35
0.232,27
0.163,26
0.236,23
0.239,12
0.241,16
0.245,29
0.2,33
0.24,27
0.241,21
0.249,16
0.253,17
0.254,22
0.253,28
0.257,14
0.247,12
0.25,25
0.261,24
0.228,28
0.266,21
0.269,21
0.276,17
0.278,29
0.277,34
0.116,37
0.263,34
0.29,21
0.293,17
0.294,18
0.298,21
0.271,21
0.286,15
0.301,11
0.306,14
0.311,19
0.311,16
0.307,17
0.314,23
0.315,20
0.322,15
0.322,18
0.322,19
0.24,21
0.304,23
0.26,23
0.331,35
0.338,36
0.341,21
0.345,23
0.344,28
0.347,19
0.357,29
0.33,27
0.212,8
0.185,16
0.09,23
0.212,14
0.211,25
0.189,26
0.058,21
0.136,15
0.156,12
0.205,14
0.197,24
0.177,20
0.198,21
0.2,14
0.204,10
0.15,24
0.149,35
0.189,23
0.153,14
0.187,7
0.079,9
0.093,16
0.197,14
0.201,14
0.202,37
0.182,19
0.174,16
0.184,14
0.061,17
0.095,23
0.132,17
0.1,24
0.208,35
0.201,25
0.205,31
0.216,25
0.161,21
0.209,25
0.208,16
0.193,9
0.21,18
0.218,21
0.169,11
0.123,9
0.172,22
0.12,30
0.218,23
0.098,14
0.212,15
0.186,27
0.216,32
0.118,39
0.233,37
0.235,20
0.232,36
0.24,36
0.244,22
0.17,34
0.245,25
0.246,16
0.251,17
0.251,27
0.258,23
0.25,11
0.226,11
0.237,20
0.266,20
0.189,27
0.249,30
0.269,22
0.253,12
0.271,14
0.263,29
0.178,28
0.123,28
0.119,27
0.194,18
0.29,19
0.214,31
0.168,25
0.262,43
0.303,36
0.306,24
0.311,14
0.303,34
0.317,46
0.32,35
0.244,33
0.299,26
0.279,30
0.123,11
0.144,9
0.197,16
0.18,22
0.102,19
0.026,16
0.08,22
0.206,19
0.2,14
0.196,10
0.171,7
0.2,14
0.195,15
0.195,22
0.192,20
0.189,15
0.076,14
0.129,17
0.191,20
0.197,27
0.125,29
0.196,34
0.176,25
0.192,23
0.198,20
0.186,27
0.14,14
0.197,12
0.202,17
0.204,23
0.189,23
0.216,13
0.216,13
0.211,15
0.074,7
0.215,11
0.186,12
0.21,29
0.195,11
0.175,8
0.128,28
0.234,26
0.237,15
0.236,16
0.222,13
0.186,21
0.166,29
0.201,20
0.245,15
0.24,13
0.244,16
0.25,39
0.234,23
0.256,15
0.259,21
0.254,16
0.234,19
0.264,31
0.268,17
0.267,23
0.266,14
0.272,19
0.257,22
0.245,23
0.22,30
0.285,27
0.288,24
0.245,31
0.29,25
0.292,16
0.296,24
0.27,36
0.237,32
0.272,23
0.287,15
0.214,11
0.109,11
0.097,14
0.208,18
0.254,17
0.221,25
0.282,33
0.317,25
0.329,31
0.327,28
0.344,45
0.346,40
0.347,22
0.209,16
0.256,39
0.23,33
0.165,32
0.193,22
0.198,15
0.146,21
0.106,5
0.047,10
0.11,8
0.198,11
0.214,13
0.14,13
0.159,17
0.218,28
0.219,13
0.186,12
0.109,9
0.116,18
0.155,28
0.22,21
0.216,15
0.164,16
0.214,24
0.213,22
