radiation,wind
0.062,11.6
0.055,5.3
0.222,4.1
0.058,10
0.097,5.6
0.153,7.8
0.204,7.7
0.144,9.8
0.232,7.2
0.163,5.6
0.236,5.4
0.239,5
0.241,5.3
0.245,10.1
0.2,10.4
0.24,5.7
0.241,6.8
0.249,4.7
0.253,6.1
0.254,7.9
0.253,5.5
0.257,3.2
0.247,3
0.25,9.6
0.261,6.4
0.228,8.4
0.266,4.9
0.269,4.8
0.276,5.6
0.278,9.9
0.277,10.4
0.116,14.3
0.263,13.5
0.29,5.8
0.293,4.4
0.294,5.1
0.298,4.8
0.271,5
0.286,6.2
0.301,4.2
0.306,3.1
0.311,4.2
0.311,3.3
0.307,4.3
0.314,5.7
0.315,4.9
0.322,4
0.322,4.5
0.322,6
0.24,3.9
0.304,4.7
0.26,6.8
0.331,10.4
0.338,9.9
0.341,3.8
0.345,5.8
0.344,5.7
0.347,3.8
0.357,5.3
0.33,7.6
0.212,3
0.185,5.3
0.09,9.4
0.212,3.3
0.211,7.8
0.189,6
0.058,6.4
0.136,12.4
0.156,6.9
0.205,3.7
0.197,7.8
0.177,6.4
0.198,5.8
0.2,5
0.204,4
0.15,10.4
0.149,13.9
0.189,7.5
0.153,7
0.187,3
0.079,4.7
0.093,10.3
0.197,4.4
0.201,6.8
0.202,12.9
0.182,3.4
0.174,5
0.184,5
0.061,8.2
0.095,5.6
0.132,5.9
0.1,7.1
0.208,7.9
0.201,5.4
0.205,8.3
0.216,9.2
0.161,9.3
0.209,8
0.208,3.1
0.193,4.4
0.21,7.3
0.218,7.4
0.169,3.3
0.123,6.6
0.172,10.5
0.12,10.3
0.218,5.8
0.098,5.5
0.212,4.9
0.186,10.2
0.216,10
0.118,13.2
0.233,8.9
0.235,6
0.232,12.7
0.24,9.5
0.244,4.1
0.17,8.7
0.245,4.6
0.246,2.8
0.251,4.5
0.251,8.8
0.258,7.9
0.25,2.4
0.226,4
0.237,4.9
0.266,5.2
0.189,8.2
0.249,11.3
0.269,6.8
0.253,3.7
0.271,4.8
0.263,7.2
0.178,12.5
0.123,9.8
0.119,5.9
0.194,3.8
0.29,5.1
0.214,10.8
0.168,6.8
0.262,8.1
0.303,9.5
0.306,7.8
0.311,6.5
0.303,12.3
0.317,11.4
0.32,6.6
0.244,7.5
0.299,7.4
0.279,11.6
0.123,3.9
0.144,3.3
0.197,4.6
0.18,6.1
0.102,8.1
0.026,6.9
0.08,9.1
0.206,7.2
0.2,3.5
0.196,3.3
0.171,3.9
0.2,5.5
0.195,4.5
0.195,7
0.192,5.6
0.189,4.6
0.076,5.5
0.129,4.9
0.191,7.9
0.197,7.4
0.125,6.9
0.196,9.4
0.176,7.8
0.192,5.4
0.198,5.5
0.186,7.3
0.14,5.7
0.197,2.8
0.202,5.4
0.204,6.4
0.189,9
0.216,10.8
