sulfur,humidity
0.4,62.8
0.5,75.4
0.9,68.1
0.9,62.6
1,83.5
1,70.7
0.9,57.6
0.9,69.5
0.7,61.6
0.5,60.7
0.6,51.6
0.7,44.7
0.7,45.7
0.7,31.8
0.7,29
0.6,47.9
0.6,32.7
0.9,31.6
1.3,24.3
0.9,24.9
0.5,29.7
1,31.8
1.7,30.6
1,22.6
0.9,28
0.6,40
0.6,49.6
0.8,36
0.9,26.8
0.8,17.1
0.6,19.8
0.7,46.7
0.7,43.9
0.7,33.8
0.6,28.5
0.7,24
0.6,19
0.5,22.4
0.7,24.1
0.9,24.3
0.9,25.3
0.5,21.6
0.8,20.2
1,16.7
0.6,14.3
0.5,15.6
0.9,18.9
1.3,20.4
1.1,16.9
0.9,16.7
0.9,17.9
1,21.8
1,36.4
0.8,29.3
1,37.3
0.9,24.7
1.2,23.5
1.1,19.4
0.7,12.7
0.7,13.9
2.7,35.4
1.3,36.9
0.9,69.6
1.1,58.5
0.9,46.9
1,39.9
1.1,46.9
0.7,59.3
0.9,68
1,59.8
0.6,37.9
0.8,33.7
0.6,38.6
1,41.5
1.5,35.5
0.9,16.8
0.7,32
0.6,31.1
0.7,29.5
1.5,33.4
1.1,36.4
0.8,73.9
1,68.5
1.4,57.3
0.5,49.3
0.4,51.3
0.4,45.5
0.6,43.4
0.3,58.3
0.4,68.8
0.6,74.4
0.9,75.2
0.7,57.2
0.7,52.1
0.7,39.5
0.9,43.8
0.8,46.2
0.6,37.5
1.4,38.2
2,37.2
1.2,28.5
1.2,25.2
2.2,26.8
1.9,31.2
1,62.4
0.6,74.9
0.8,61.2
0.7,69.1
0.9,72
0.8,54
0.7,43.8
0.8,58.7
0.3,47.2
0.8,36.6
0.6,38.3
0.4,31.4
0.6,33.3
0.4,30
0.3,34.4
1,29.4
0.7,26.6
0.3,19.1
0.2,20.1
1.8,22.8
1.1,26.5
0.8,27.7
0.9,18.7
1,22.8
0.9,33.5
0.9,42.5
1.6,34.9
1.3,28.7
1.3,20
0.6,32.5
0.6,64.9
0.6,62.2
0.8,43.4
0.8,41.2
0.8,36.2
0.9,43.8
0.5,48.6
0.4,45.7
0.4,38.5
0.7,28.7
0.7,17.4
0.6,16.7
0.6,14.8
0.7,16.7
0.7,24.7
0.6,17.9
1.7,27.8
1.5,31.5
1.2,29.9
1.3,31.7
1,29.6
1,78.8
0.7,70.9
0.7,62.8
1,53.9
1.4,45
1.4,38.6
1.4,29
1.5,30.9
1.3,36.8
1.1,38.8
1.6,47.2
0.9,65.7
0.4,77.1
0.4,64.6
0.5,47.7
0.6,27.6
0.4,30.3
0.4,34.3
1.3,26.3
1.4,25.2
1,17.2
1.2,29.8
1.4,36.3
1.3,29.3
1.1,27.8
1,26.3
0.8,45.6
1,36.1
1.2,27.2
1.7,24.1
1.8,36.2
1.5,37.5
1,28
1.8,34.4
2,36.8
1.8,47.9
