sulfur,ozone
0.4,23
0.5,17
0.9,11
0.9,18
1,11
1,16
0.9,26
0.9,35
0.7,27
0.5,26
0.6,23
0.7,12
0.7,16
0.7,29
0.7,33
0.6,27
0.6,21
0.9,16
1.3,17
0.9,22
0.5,28
1,14
1.7,12
1,25
0.9,24
0.6,28
0.6,21
0.8,21
0.9,17
0.8,29
0.6,34
0.7,37
0.7,34
0.7,21
0.6,17
0.7,18
0.6,21
0.5,21
0.7,15
0.9,11
0.9,14
0.5,19
0.8,16
1,17
0.6,23
0.5,20
0.9,15
1.3,18
1.1,19
0.9,21
0.9,23
1,23
1,35
0.8,36
1,21
0.9,23
1.2,28
1.1,19
0.7,29
0.7,27
2.7,8
1.3,16
0.9,23
1.1,14
0.9,25
1,26
1.1,21
0.7,15
0.9,12
1,14
0.6,24
0.8,20
0.6,21
1,14
1.5,10
0.9,24
0.7,35
0.6,23
0.7,14
1.5,7
1.1,9
0.8,16
1,14
1.4,14
0.5,37
0.4,19
0.4,16
0.6,14
0.3,17
0.4,23
0.6,17
0.9,24
0.7,35
0.7,25
0.7,31
0.9,25
0.8,21
0.6,25
1.4,16
2,9
1.2,18
1.2,21
2.2,11
1.9,9
1,22
0.6,30
0.8,23
0.7,14
0.9,15
0.8,27
0.7,32
0.8,39
0.3,37
0.8,20
0.6,36
0.4,36
0.6,22
0.4,34
0.3,25
1,16
0.7,17
0.3,27
0.2,23
1.8,11
1.1,11
0.8,20
0.9,20
1,27
0.9,30
0.9,22
1.6,12
1.3,14
1.3,29
0.6,28
0.6,28
0.6,27
0.8,18
0.8,19
0.8,31
0.9,25
0.5,43
0.4,36
0.4,24
0.7,14
0.7,34
0.6,46
0.6,35
0.7,33
0.7,26
0.6,30
1.7,11
1.5,9
1.2,16
1.3,22
1,19
1,16
0.7,22
0.7,19
1,14
1.4,10
1.4,7
1.4,14
1.5,15
1.3,22
1.1,20
1.6,15
0.9,14
0.4,17
0.4,20
0.5,27
0.6,29
0.4,34
0.4,25
1.3,23
1.4,20
1,27
1.2,14
1.4,12
1.3,17
1.1,23
1,23
0.8,13
1,13
1.2,15
1.7,7
1.8,11
1.5,12
1,29
1.8,11
2,8
1.8,28
