sulfur,pm25
0.4,3.1
0.5,5.1
0.9,6.7
0.9,2.6
1,5
1,4
0.9,2.8
0.9,2.3
0.7,4
0.5,4.8
0.6,7
0.7,6.7
0.7,4.3
0.7,3.1
0.7,3.2
0.6,7.7
0.6,5.1
0.9,6.9
1.3,7.5
0.9,4.3
0.5,5
1,9.4
1.7,14.2
1,8.6
0.9,5.3
0.6,3.7
0.6,3.9
0.8,5.4
0.9,4.5
0.8,4.5
0.6,4.1
0.7,4.8
0.7,4
0.7,7.1
0.6,4.5
0.7,6.6
0.6,5.2
0.5,3.9
0.7,6.2
0.9,8.8
0.9,8.9
0.5,6.1
0.8,9.7
1,9.6
0.6,5
0.5,4.4
0.9,6.5
1.3,9.2
1.1,9.7
0.9,8.6
0.9,8.1
1,8
1,9.8
0.8,4.7
1,7.2
0.9,5.8
1.2,7.8
1.1,8.1
0.7,6.8
0.7,6.9
2.7,20.1
1.3,9.7
0.9,7
1.1,15.1
0.9,5.4
1,8.7
1.1,12.2
0.7,6.7
0.9,7
1,9.1
0.6,7.2
0.8,6.6
0.6,5.7
1,8.6
1.5,10
0.9,8.5
0.7,17.7
0.6,8.1
0.7,10.4
1.5,19.1
1.1,16.8
0.8,7.2
1,8.9
1.4,9.6
0.5,4.9
0.4,11.1
0.4,8.1
0.6,8.7
0.3,7.3
0.4,6.3
0.6,7.7
0.9,7.1
0.7,5.6
0.7,7.7
0.7,5.1
0.9,5.2
0.8,5.6
0.6,5.8
1.4,15.5
2,13.4
1.2,4.8
1.2,4.5
2.2,12.8
1.9,11.5
1,11.7
0.6,4.5
0.8,8.4
0.7,7.5
0.9,8.2
0.8,5
0.7,7.1
0.8,5.3
0.3,5.2
0.8,6.7
0.6,4.5
0.4,4.6
0.6,9.3
0.4,5.8
0.3,7.9
1,11.8
0.7,8.5
0.3,5.1
0.2,5.6
1.8,16.4
1.1,14.1
0.8,11.1
0.9,7.3
1,5.2
0.9,6.6
0.9,6.7
1.6,12.8
1.3,11.2
1.3,11.1
0.6,13.5
0.6,6
0.6,4.7
0.8,8.2
0.8,6.4
0.8,6.6
0.9,14.1
0.5,4.8
0.4,4.1
0.4,4.8
0.7,5
0.7,12.1
0.6,6
0.6,7.3
0.7,7.9
0.7,7.3
0.6,20.7
1.7,11.7
1.5,14
1.2,12.3
1.3,9.2
1,8.7
1,5.9
0.7,5.9
0.7,5.6
1,15.2
1.4,15.3
1.4,13.7
1.4,11.6
1.5,10.3
1.3,11.2
1.1,15.9
1.6,15.7
0.9,15.5
0.4,6.7
0.4,6.7
0.5,5.8
0.6,5.7
0.4,7.6
0.4,5.1
1.3,12.2
1.4,16.7
1,5.2
1.2,9.7
1.4,14.6
1.3,9.5
1.1,6.4
1,10
0.8,7.8
1,9.9
1.2,6.8
1.7,12.7
1.8,13.4
1.5,11.2
1,3.7
1.8,14.2
2,14.7
1.8,7.2
