temp,carbon 
35.3,0.3
41.3,0.4
46.8,0.5
54,0.7
45.7,0.2
40.7,0.3
42.3,0.6
46.1,0.4
48.2,0.6
52.6,0.5
50.3,0.3
47.7,0.5
52.6,0.4
52,0.8
55.3,0.5
58.5,0.4
52.9,0.4
61,0.2
59.6,0.3
62.9,0.4
62.5,0.2
54.5,0.4
53.2,0.5
56.9,0.3
63.4,0.2
52.2,0.2
52.5,0.3
59,0.5
61.8,0.5
58.4,0.3
55.1,0.3
54.7,0.3
59.2,0.5
59.8,0.2
55.3,0.2
50.4,0.3
49.4,0.3
54,0.3
47.6,0.1
49.2,0.2
52.5,0.5
55.6,0.5
49.1,0.2
51,0.3
50,0.3
48.5,0.5
46.5,0.5
50.7,0.7
53.2,0.8
49.4,0.5
45.8,0.7
46.4,0.7
46.9,0.6
51.1,0.4
52.9,0.3
46.1,0.3
42.9,0.5
45,0.7
50.6,0.5
51.1,0.4
50.5,0.3
51.9,0.3
50.8,0.6
50.6,0.4
58.1,0.3
52.8,0.3
52.6,0.6
52.8,0.8
46.6,0.3
45.5,0.3
38,0.3
32.5,0.2
32.7,0.3
41.6,0.6
38.6,0.5
31.7,0.3
36.9,0.3
39,0.4
43.9,0.6
49.3,0.5
48.7,0.3
47.7,0.4
48.9,0.3
49.2,0.4
51.2,0.3
47,0.3
48.4,0.2
48.5,0.4
52.7,0.7
55.1,0.4
53.1,0.4
54.5,0.2
47.9,0.3
48.2,0.5
56.7,0.5
46.8,0.2
42.9,0.3
45.7,0.4
46.1,0.4
47,0.5
48.1,0.4
50.7,0.3
43.9,0.3
49.3,0.7
55,0.5
55.2,0.4
54.5,0.3
57.8,0.2
59.8,0.3
59,0.2
53,0.2
42.1,0.3
43.4,0.2
47.9,0.3
50.6,0.4
50.8,0.3
44.9,0.4
50.7,0.4
60.7,0.3
64.1,0.3
55.2,0.2
47.9,0.2
48.1,0.4
37.9,0.2
40.7,0.4
50,0.5
47.1,0.3
41.3,0.2
48,0.4
54.8,0.4
60,0.3
62,0.3
62.6,0.3
44.1,0.4
47.2,0.5
50.4,0.3
52.7,0.4
57.9,0.3
54.4,0.5
55.2,0.5
58,0.3
48.3,0.4
48.3,0.4
47,0.5
48.7,0.3
55.5,0.2
58.9,0.3
61.3,0.2
47.9,0.2
39.3,0.2
38.3,0.3
42.1,0.5
42.2,0.4
42.7,0.5
43.3,0.6
46.9,0.8
46,0.7
49.2,0.3
50.2,0.4
50.6,0.3
41.3,0.2
36.8,0.2
37.7,0.3
42.6,0.4
44.6,0.2
42.6,0.4
41.7,0.3
45.1,0.3
47.2,0.5
47.8,0.3
44.6,0.4
48.2,0.4
55.1,0.3
46.6,0.2
41.2,0.4
48.1,0.5
52.5,0.4
53.6,0.5
56,0.8
51.9,0.3
52.4,0.3
50.4,0.3
50,0.3
49.7,0.2
47.8,0.3
51.8,0.2
49.6,0.3
50.3,0.5
54.3,0.3
53.6,0.2
54,0.2
48.3,0.2
49.8,0.3
50.6,0.2
47.6,0.2
50.8,0.2
51.8,0.4
58.9,0.2
47.4,0.2
33.2,0.2
41.9,0.2
52.1,0.2
56.6,0.3
59.9,0.3
56.7,0.3
42.8,0.2
40.6,0.4
45.9,0.8
51.8,0.5
55.8,0.3
58,0.2
60.7,0.2
56.7,0.3
52.6,0.3
47.9,0.3
43.6,0.2
55,0.4
56.8,0.2
53.8,0.2
47.6,0.2
38.9,0.3
47.1,0.5
52.9,0.7
59.1,0.8
48.1,0.2
42.9,0.1
38.9,0.2
40.8,0.3
44.9,0.3
47,0.4
47.1,0.6
48.8,0.6
50.2,0.8
50.8,0.4
50.5,0.1
52.7,0.1
43.5,0.2
41.8,0.4
43.9,0.2
41.1,0.2
44.2,0.5
50,0.3
45.8,0.2
45.3,0.2
46.6,0.4
49.4,0.2
50.9,0.1
36.8,0.2
39,0.4
45.5,0.2
54,0.3
55.5,0.5
52,0.3
41.4,0.2
37.6,0.3
38.9,0.5
41.6,0.2
47.3,0.1
49.2,0.4
50.5,0.4
47.1,0.3
45.1,0.4
46.9,0.6
46,0.3
37.2,0.2
35.3,0.2
38.8,0.2
43.6,0.2
51.2,0.2
51,0.3
50.2,0.3
50.6,0.3
56.1,0.4
46.9,0.1
43.6,0.2
48.4,0.2
51.6,0.3
53.8,0.4
49.4,0.2
44.4,0.1
39.8,0.2
40.2,0.2
50.6,0.2
53.4,0.4
49.9,0.2
48.8,0.2
54.6,0.2
57.8,0.2
64.3,0.1
61.7,0.1
54.9,0.1
53.2,0.2
57.1,0.2
60.1,0.1
60.7,0.1
61.1,0.1
57.3,0.1
56.7,0.2
52.8,0.2
24.2,0.1
22.9,0.3
36.6,0.4
44.7,0.1
40.1,0.2
43.6,0.2
56.3,0.3
53.6,0.2
50.3,0.2
55.1,0.2
61.4,0.2
60.5,0.2
54,0.3
57.7,0.2
54.8,0.1
