temp,radiation
38.4,0.062
37.9,0.055
38.4,0.222
42.2,0.058
43.9,0.097
47.9,0.153
46.4,0.204
40.4,0.144
39.4,0.232
39.3,0.163
40.7,0.236
38.8,0.239
41.4,0.241
48.3,0.245
48.9,0.2
44.3,0.24
50.4,0.241
49.4,0.249
54.5,0.253
55.8,0.254
48.5,0.253
45.9,0.257
48.2,0.247
54.7,0.25
49.1,0.261
44.6,0.228
41.2,0.266
46.8,0.269
52,0.276
59.1,0.278
60.3,0.277
47.2,0.116
38.7,0.263
36.4,0.29
36.7,0.293
39.9,0.294
43,0.298
47.1,0.271
49.8,0.286
50.7,0.301
54.2,0.306
56.5,0.311
57.5,0.311
59.7,0.307
60.8,0.314
59,0.315
60.1,0.322
62.3,0.322
67.2,0.322
69.1,0.24
67.5,0.304
65.2,0.26
60.7,0.331
51.1,0.338
46.7,0.341
51.3,0.345
55.7,0.344
60.1,0.347
65.2,0.357
65.3,0.33
45.9,0.212
50.6,0.185
45.2,0.09
47,0.212
48.8,0.211
54,0.189
52.9,0.058
39.1,0.136
38.5,0.156
46.9,0.205
58.5,0.197
59,0.177
59.3,0.198
59.5,0.2
59.7,0.204
65.8,0.15
54,0.149
41,0.189
42,0.153
46.1,0.187
53.8,0.079
49.2,0.093
51.6,0.197
55.6,0.201
44.5,0.202
42.6,0.182
44.8,0.174
51.3,0.184
46,0.061
45.4,0.095
49.1,0.132
47.4,0.1
45.8,0.208
50.2,0.201
56.4,0.205
55.2,0.216
47.3,0.161
37.7,0.209
47,0.208
56.8,0.193
60.1,0.21
60.3,0.218
56.4,0.169
58.4,0.123
57.6,0.172
46.3,0.12
47.7,0.218
46.5,0.098
46.1,0.212
48.9,0.186
50.5,0.216
45.9,0.118
45.5,0.233
54.8,0.235
49.8,0.232
42.9,0.24
41.1,0.244
41.1,0.17
39.3,0.245
43.3,0.246
47.5,0.251
53.8,0.251
55.7,0.258
54.7,0.25
55.4,0.226
57.8,0.237
60.1,0.266
60.3,0.189
57.3,0.249
59.5,0.269
61.5,0.253
65.4,0.271
70.7,0.263
59.1,0.178
45.6,0.123
46.2,0.119
46.1,0.194
49.2,0.29
54.9,0.214
55.8,0.168
51.1,0.262
54.1,0.303
59.7,0.306
65,0.311
64.3,0.303
52.2,0.317
53,0.32
55.4,0.244
57.7,0.299
62.7,0.279
59.3,0.123
59.9,0.144
61.3,0.197
61.5,0.18
51.7,0.102
42.1,0.026
34.7,0.08
35.3,0.206
42.1,0.2
44.7,0.196
46,0.171
48,0.2
47.6,0.195
50,0.195
44,0.192
43.7,0.189
46.5,0.076
48.9,0.129
48.2,0.191
52.3,0.197
57.5,0.125
42.4,0.196
43.9,0.176
52.6,0.192
54.8,0.198
59.1,0.186
53.6,0.14
50.8,0.197
52.1,0.202
55.4,0.204
55.5,0.189
37.4,0.216
41.9,0.216
42.4,0.211
47,0.074
48.3,0.215
51.7,0.186
59.2,0.21
53.4,0.195
56.1,0.175
53.3,0.128
51.2,0.234
49.5,0.237
50.6,0.236
48.9,0.222
47,0.186
32.6,0.166
35.3,0.201
41.3,0.245
46.8,0.24
54,0.244
45.7,0.25
40.7,0.234
42.3,0.256
46.1,0.259
48.2,0.254
52.6,0.234
50.3,0.264
47.7,0.268
52.6,0.267
52,0.266
55.3,0.272
58.5,0.257
52.9,0.245
61,0.22
59.6,0.285
62.9,0.288
62.5,0.245
54.5,0.29
53.2,0.292
56.9,0.296
63.4,0.27
52.2,0.237
52.5,0.272
59,0.287
61.8,0.214
58.4,0.109
55.1,0.097
54.7,0.208
59.2,0.254
59.8,0.221
55.3,0.282
50.4,0.317
49.4,0.329
54,0.327
47.6,0.344
49.2,0.346
52.5,0.347
55.6,0.209
49.1,0.256
51,0.23
50,0.165
48.5,0.193
46.5,0.198
50.7,0.146
53.2,0.106
49.4,0.047
45.8,0.11
46.4,0.198
46.9,0.214
51.1,0.14
52.9,0.159
46.1,0.218
42.9,0.219
45,0.186
50.6,0.109
51.1,0.116
50.5,0.155
51.9,0.22
50.8,0.216
50.6,0.164
58.1,0.214
52.8,0.213
52.6,0.216
52.8,0.116
46.6,0.144
45.5,0.208
38,0.052
32.5,0.122
32.7,0.211
41.6,0.223
38.6,0.216
31.7,0.113
36.9,0.225
39,0.227
43.9,0.213
49.3,0.073
48.7,0.221
47.7,0.129
48.9,0.11
49.2,0.138
51.2,0.23
47,0.221
48.4,0.229
48.5,0.214
52.7,0.233
55.1,0.196
53.1,0.205
54.5,0.209
47.9,0.249
48.2,0.238
56.7,0.225
46.8,0.224
42.9,0.257
45.7,0.258
46.1,0.263
47,0.263
48.1,0.229
50.7,0.267
43.9,0.141
49.3,0.201
55,0.259
55.2,0.197
54.5,0.204
57.8,0.234
59.8,0.276
59,0.124
53,0.246
42.1,0.295
43.4,0.294
47.9,0.209
50.6,0.074
50.8,0.274
44.9,0.305
50.7,0.234
60.7,0.209
64.1,0.269
55.2,0.308
47.9,0.318
48.1,0.317
37.9,0.207
40.7,0.314
50,0.325
47.1,0.279
41.3,0.336
48,0.336
54.8,0.324
60,0.348
62,0.21
62.6,0.35
44.1,0.234
47.2,0.225
50.4,0.233
52.7,0.099
57.9,0.219
54.4,0.221
55.2,0.198
58,0.095
48.3,0.032
48.3,0.174
47,0.187
48.7,0.224
55.5,0.22
58.9,0.222
61.3,0.219
47.9,0.208
39.3,0.224
38.3,0.224
42.1,0.18
42.2,0.219
42.7,0.217
43.3,0.178
46.9,0.191
46,0.084
49.2,0.218
50.2,0.218
50.6,0.181
41.3,0.148
36.8,0.225
37.7,0.223
42.6,0.221
44.6,0.223
42.6,0.066
41.7,0.228
45.1,0.235
47.2,0.229
47.8,0.231
44.6,0.209
48.2,0.226
55.1,0.234
46.6,0.196
41.2,0.237
48.1,0.24
52.5,0.242
53.6,0.232
56,0.117
51.9,0.097
52.4,0.24
50.4,0.248
50,0.243
49.7,0.212
47.8,0.046
51.8,0.25
49.6,0.257
50.3,0.253
54.3,0.258
53.6,0.264
54,0.192
48.3,0.27
49.8,0.263
50.6,0.266
47.6,0.274
50.8,0.28
51.8,0.218
58.9,0.236
47.4,0.194
33.2,0.177
41.9,0.267
52.1,0.295
56.6,0.3
59.9,0.268
56.7,0.248
42.8,0.094
40.6,0.114
45.9,0.3
51.8,0.305
55.8,0.31
58,0.317
60.7,0.292
56.7,0.303
52.6,0.189
47.9,0.32
43.6,0.17
55,0.291
56.8,0.322
53.8,0.343
47.6,0.346
38.9,0.35
47.1,0.345
52.9,0.229
59.1,0.318
48.1,0.227
42.9,0.208
38.9,0.221
40.8,0.227
44.9,0.228
47,0.228
47.1,0.217
48.8,0.226
50.2,0.22
50.8,0.096
50.5,0.224
52.7,0.213
43.5,0.223
41.8,0.204
43.9,0.223
41.1,0.222
44.2,0.218
50,0.16
45.8,0.221
45.3,0.223
46.6,0.217
49.4,0.181
50.9,0.219
36.8,0.185
39,0.165
45.5,0.222
54,0.222
55.5,0.218
52,0.205
41.4,0.081
37.6,0.219
38.9,0.187
41.6,0.223
47.3,0.22
49.2,0.228
50.5,0.213
47.1,0.23
45.1,0.23
46.9,0.222
46,0.223
37.2,0.076
35.3,0.206
38.8,0.237
43.6,0.241
51.2,0.21
51,0.247
50.2,0.236
50.6,0.249
56.1,0.251
46.9,0.095
43.6,0.121
48.4,0.099
51.6,0.256
53.8,0.258
49.4,0.239
44.4,0.249
39.8,0.242
40.2,0.276
50.6,0.237
53.4,0.113
49.9,0.281
48.8,0.283
54.6,0.248
57.8,0.246
64.3,0.281
61.7,0.286
54.9,0.295
53.2,0.302
57.1,0.302
60.1,0.304
60.7,0.308
61.1,0.275
57.3,0.31
56.7,0.232
52.8,0.265
24.2,0.129
22.9,0.205
36.6,0.084
44.7,0.286
40.1,0.238
43.6,0.338
56.3,0.336
53.6,0.343
50.3,0.351
55.1,0.353
61.4,0.349
60.5,0.34
54,0.284
57.7,0.305
54.8,0.36
