temp,wind
38.4,11.6
37.9,5.3
38.4,4.1
42.2,10
43.9,5.6
47.9,7.8
46.4,7.7
40.4,9.8
39.4,7.2
39.3,5.6
40.7,5.4
38.8,5
41.4,5.3
48.3,10.1
48.9,10.4
44.3,5.7
50.4,6.8
49.4,4.7
54.5,6.1
55.8,7.9
48.5,5.5
45.9,3.2
48.2,3
54.7,9.6
49.1,6.4
44.6,8.4
41.2,4.9
46.8,4.8
52,5.6
59.1,9.9
60.3,10.4
47.2,14.3
38.7,13.5
36.4,5.8
36.7,4.4
39.9,5.1
43,4.8
47.1,5
49.8,6.2
50.7,4.2
54.2,3.1
56.5,4.2
57.5,3.3
59.7,4.3
60.8,5.7
59,4.9
60.1,4
62.3,4.5
67.2,6
69.1,3.9
67.5,4.7
65.2,6.8
60.7,10.4
51.1,9.9
46.7,3.8
51.3,5.8
55.7,5.7
60.1,3.8
65.2,5.3
65.3,7.6
45.9,3
50.6,5.3
45.2,9.4
47,3.3
48.8,7.8
54,6
52.9,6.4
39.1,12.4
38.5,6.9
46.9,3.7
58.5,7.8
59,6.4
59.3,5.8
59.5,5
59.7,4
65.8,10.4
54,13.9
41,7.5
42,7
46.1,3
53.8,4.7
49.2,10.3
51.6,4.4
55.6,6.8
44.5,12.9
42.6,3.4
44.8,5
51.3,5
46,8.2
45.4,5.6
49.1,5.9
47.4,7.1
45.8,7.9
50.2,5.4
56.4,8.3
55.2,9.2
47.3,9.3
37.7,8
47,3.1
56.8,4.4
60.1,7.3
60.3,7.4
56.4,3.3
58.4,6.6
57.6,10.5
46.3,10.3
47.7,5.8
46.5,5.5
46.1,4.9
48.9,10.2
50.5,10
45.9,13.2
45.5,8.9
54.8,6
49.8,12.7
42.9,9.5
41.1,4.1
41.1,8.7
39.3,4.6
43.3,2.8
47.5,4.5
53.8,8.8
55.7,7.9
54.7,2.4
55.4,4
57.8,4.9
60.1,5.2
60.3,8.2
57.3,11.3
59.5,6.8
61.5,3.7
65.4,4.8
70.7,7.2
59.1,12.5
45.6,9.8
46.2,5.9
46.1,3.8
49.2,5.1
54.9,10.8
55.8,6.8
51.1,8.1
54.1,9.5
59.7,7.8
65,6.5
64.3,12.3
52.2,11.4
53,6.6
55.4,7.5
57.7,7.4
62.7,11.6
59.3,3.9
59.9,3.3
61.3,4.6
61.5,6.1
51.7,8.1
42.1,6.9
34.7,9.1
35.3,7.2
42.1,3.5
44.7,3.3
46,3.9
48,5.5
47.6,4.5
50,7
44,5.6
43.7,4.6
46.5,5.5
48.9,4.9
48.2,7.9
52.3,7.4
57.5,6.9
42.4,9.4
43.9,7.8
52.6,5.4
54.8,5.5
59.1,7.3
53.6,5.7
50.8,2.8
52.1,5.4
55.4,6.4
55.5,9
37.4,10.8
41.9,6.4
42.4,6.4
47,4.1
48.3,3.3
51.7,3.5
59.2,7.9
53.4,2.8
56.1,2.8
53.3,11.2
51.2,8.3
49.5,5.5
50.6,3.9
